"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONTUMAZA (000)",8542,105,3163,2921,1014,385,155,41,8,,750
"Conviviente (001)",3950,44,1656,1352,443,136,48,15,2,,254
"Separado(a) (002)",622,16,242,201,79,36,18,2,1,,27
"Casado(a) (003)",2480,23,862,946,336,132,52,13,5,,111
"Viudo(a) (004)",763,16,270,271,95,42,18,9,,,42
"Divorciado(a) (005)",28,,10,10,5,2,,,,,1
"Soltero(a) (006)",699,6,123,141,56,37,19,2,,,315
,,,,,,,,,,,
"URBANA (008)",3841,33,1239,1313,537,224,99,26,5,,365
"Conviviente (009)",1456,8,537,494,196,70,31,7,,,113
"Separado(a) (010)",311,4,108,113,39,21,11,,1,,14
"Casado(a) (011)",1317,10,403,493,210,91,37,9,4,,60
"Viudo(a) (012)",359,7,122,128,51,18,9,8,,,16
"Divorciado(a) (013)",16,,6,5,4,1,,,,,
"Soltero(a) (014)",382,4,63,80,37,23,11,2,,,162
,,,,,,,,,,,
"RURAL (016)",4701,72,1924,1608,477,161,56,15,3,,385
"Conviviente (017)",2494,36,1119,858,247,66,17,8,2,,141
"Separado(a) (018)",311,12,134,88,40,15,7,2,,,13
"Casado(a) (019)",1163,13,459,453,126,41,15,4,1,,51
"Viudo(a) (020)",404,9,148,143,44,24,9,1,,,26
"Divorciado(a) (021)",12,,4,5,1,1,,,,,1
"Soltero(a) (022)",317,2,60,61,19,14,8,,,,153
