"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia POMABAMBA (000)",27954,586,10193,6613,4640,3824,2098
"Hombres (001)",13502,305,5104,3180,2255,1783,875
"Mujeres (002)",14452,281,5089,3433,2385,2041,1223
"Viviendas particulares (003)",27783,585,10184,6547,4583,3791,2093
"Hombres (004)",13384,304,5099,3135,2216,1758,872
"Mujeres (005)",14399,281,5085,3412,2367,2033,1221
"Viviendas colectivas (006)",32,1,1,15,13,1,1
"Hombres (007)",20,1,1,9,8,1,
"Mujeres (008)",12,,,6,5,,1
"Otro tipo (009)",139,,8,51,44,32,4
"Hombres (010)",98,,4,36,31,24,3
"Mujeres (011)",41,,4,15,13,8,1
,,,,,,,
"URBANA (012)",6142,112,1838,1599,1243,917,433
"Hombres (013)",2987,62,902,764,629,442,188
"Mujeres (014)",3155,50,936,835,614,475,245
"Viviendas particulares (015)",5971,111,1829,1533,1186,884,428
"Hombres (016)",2869,61,897,719,590,417,185
"Mujeres (017)",3102,50,932,814,596,467,243
"Viviendas colectivas (018)",32,1,1,15,13,1,1
"Hombres (019)",20,1,1,9,8,1,
"Mujeres (020)",12,,,6,5,,1
"Otro tipo (021)",139,,8,51,44,32,4
"Hombres (022)",98,,4,36,31,24,3
"Mujeres (023)",41,,4,15,13,8,1
,,,,,,,
"RURAL (024)",21812,474,8355,5014,3397,2907,1665
"Hombres (025)",10515,243,4202,2416,1626,1341,687
"Mujeres (026)",11297,231,4153,2598,1771,1566,978
"Viviendas particulares (027)",21812,474,8355,5014,3397,2907,1665
"Hombres (028)",10515,243,4202,2416,1626,1341,687
"Mujeres (029)",11297,231,4153,2598,1771,1566,978
