"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia RIOJA (000)",73789,13233,15339,15980,12746,8078,8413
"Católica (001)",38249,6554,7764,8178,6784,4376,4593
"Cristiana/Evangélica (002)",19114,3713,3458,3926,3324,2235,2458
"Otra (003)",7562,1399,1498,1553,1283,854,975
"Ninguna (004)",8864,1567,2619,2323,1355,613,387
"Hombres (006)",38420,6829,7811,8025,6673,4552,4530
"Católica (007)",20116,3393,3970,4147,3531,2510,2565
"Cristiana/Evangélica (008)",9306,1888,1616,1745,1641,1185,1231
"Otra (009)",3623,682,687,704,629,438,483
"Ninguna (010)",5375,866,1538,1429,872,419,251
"Mujeres (012)",35369,6404,7528,7955,6073,3526,3883
"Católica (013)",18133,3161,3794,4031,3253,1866,2028
"Cristiana/Evangélica (014)",9808,1825,1842,2181,1683,1050,1227
"Otra (015)",3939,717,811,849,654,416,492
"Ninguna (016)",3489,701,1081,894,483,194,136
,,,,,,,
"URBANA (018)",54193,9492,10872,11684,9832,6129,6184
"Católica (019)",28044,4618,5456,5969,5262,3350,3389
"Cristiana/Evangélica (020)",13917,2680,2440,2843,2538,1650,1766
"Otra (021)",5845,1073,1101,1202,1035,667,767
"Ninguna (022)",6387,1121,1875,1670,997,462,262
"Hombres (024)",27774,4843,5473,5652,5067,3456,3283
"Católica (025)",14458,2337,2762,2904,2680,1905,1870
"Cristiana/Evangélica (026)",6726,1368,1131,1209,1258,884,876
"Otra (027)",2759,524,501,528,491,344,371
"Ninguna (028)",3831,614,1079,1011,638,323,166
"Mujeres (030)",26419,4649,5399,6032,4765,2673,2901
"Católica (031)",13586,2281,2694,3065,2582,1445,1519
"Cristiana/Evangélica (032)",7191,1312,1309,1634,1280,766,890
"Otra (033)",3086,549,600,674,544,323,396
"Ninguna (034)",2556,507,796,659,359,139,96
,,,,,,,
"RURAL (036)",19596,3741,4467,4296,2914,1949,2229
"Católica (037)",10205,1936,2308,2209,1522,1026,1204
"Cristiana/Evangélica (038)",5197,1033,1018,1083,786,585,692
"Otra (039)",1717,326,397,351,248,187,208
"Ninguna (040)",2477,446,744,653,358,151,125
"Hombres (042)",10646,1986,2338,2373,1606,1096,1247
"Católica (043)",5658,1056,1208,1243,851,605,695
"Cristiana/Evangélica (044)",2580,520,485,536,383,301,355
"Otra (045)",864,158,186,176,138,94,112
"Ninguna (046)",1544,252,459,418,234,96,85
"Mujeres (048)",8950,1755,2129,1923,1308,853,982
"Católica (049)",4547,880,1100,966,671,421,509
"Cristiana/Evangélica (050)",2617,513,533,547,403,284,337
"Otra (051)",853,168,211,175,110,93,96
"Ninguna (052)",933,194,285,235,124,55,40
