"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",28020,4512,8698,7150,7660
"Asiste actualmente (001)",16534,1040,8130,5719,1645
"No asiste (002)",11486,3472,568,1431,6015
"Hombres (004)",14226,2242,4351,3692,3941
"Asiste actualmente (005)",8625,521,4075,3106,923
"No asiste (006)",5601,1721,276,586,3018
"Mujeres (008)",13794,2270,4347,3458,3719
"Asiste actualmente (009)",7909,519,4055,2613,722
"No asiste (010)",5885,1751,292,845,2997
,,,,,
"URBANA (012)",9505,1353,2841,2583,2728
"Asiste actualmente (013)",6519,496,2719,2359,945
"No asiste (014)",2986,857,122,224,1783
"Hombres (016)",4653,661,1405,1286,1301
"Asiste actualmente (017)",3239,237,1350,1186,466
"No asiste (018)",1414,424,55,100,835
"Mujeres (020)",4852,692,1436,1297,1427
"Asiste actualmente (021)",3280,259,1369,1173,479
"No asiste (022)",1572,433,67,124,948
,,,,,
"RURAL (024)",18515,3159,5857,4567,4932
"Asiste actualmente (025)",10015,544,5411,3360,700
"No asiste (026)",8500,2615,446,1207,4232
"Hombres (028)",9573,1581,2946,2406,2640
"Asiste actualmente (029)",5386,284,2725,1920,457
"No asiste (030)",4187,1297,221,486,2183
"Mujeres (032)",8942,1578,2911,2161,2292
"Asiste actualmente (033)",4629,260,2686,1440,243
"No asiste (034)",4313,1318,225,721,2049
