"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHURCAMPA (000)",15498,50413,43048,,886,85.4,1.8
"De 12 a 14 años (001)",1949,7,7,,,100,
"De 15 a 19 años (002)",2016,448,439,123,98,27.5,
"De 20 a 24 años (003)",1608,1916,1850,212,96.6,11.1,
"De 25 a 29 años (004)",1417,3218,3079,186,95.7,5.8,
"De 30 a 34 años (005)",1322,4294,4023,132,93.7,3.1,
"De 35 a 39 años (006)",1264,5435,4983,146,91.7,2.7,
"De 40 a 44 años (007)",1130,6246,5565,77,89.1,1.2,
"De 45 a 49 años (008)",1007,6043,5148,10,85.2,0.2,
"De 50 y más años (009)",3785,22806,17954,,78.7,,
"PEA (010)",4005,14798,12755,245,86.2,1.7,
"De 12 a 14 años (011)",47,2,2,,100,,
"De 15 a 19 años (012)",281,82,80,19,97.6,23.2,
"De 20 a 24 años (013)",481,504,489,52,97,10.3,
"De 25 a 29 años (014)",501,969,922,51,95.1,5.3,
"De 30 a 34 años (015)",536,1485,1405,49,94.6,3.3,
"De 35 a 39 años (016)",470,1748,1599,52,91.5,3,
"De 40 a 44 años (017)",383,1952,1738,19,89,1,
"De 45 a 49 años (018)",350,2032,1719,3,84.6,0.1,
"De 50 y más años (019)",956,6024,4801,,79.7,,
"Ocupada (020)",3911,14662,12637,243,86.2,1.7,
"De 12 a 14 años (021)",44,2,2,,100,,
"De 15 a 19 años (022)",262,80,78,18,97.5,22.5,
"De 20 a 24 años (023)",452,488,473,51,96.9,10.5,
"De 25 a 29 años (024)",487,953,906,51,95.1,5.4,
"De 30 a 34 años (025)",528,1477,1397,49,94.6,3.3,
"De 35 a 39 años (026)",462,1724,1580,52,91.6,3,
"De 40 a 44 años (027)",378,1935,1722,19,89,1,
"De 45 a 49 años (028)",347,2019,1709,3,84.6,0.1,
"De 50 y más años (029)",951,5984,4770,,79.7,,
"Desocupada (030)",94,136,118,2,86.8,1.5,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",19,2,2,1,100,50,
"De 20 a 24 años (033)",29,16,16,1,100,6.3,
"De 25 a 29 años (034)",14,16,16,,100,,
"De 30 a 34 años (035)",8,8,8,,100,,
"De 35 a 39 años (036)",8,24,19,,79.2,,
"De 40 a 44 años (037)",5,17,16,,94.1,,
