"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PARINACOCHAS (000)",13522,2050,4243,3481,3748
"Asiste actualmente (001)",9883,1192,4081,3239,1371
"No asiste (002)",3639,858,162,242,2377
"Hombres (004)",6906,1053,2143,1756,1954
"Asiste actualmente (005)",5041,595,2072,1630,744
"No asiste (006)",1865,458,71,126,1210
"Mujeres (008)",6616,997,2100,1725,1794
"Asiste actualmente (009)",4842,597,2009,1609,627
"No asiste (010)",1774,400,91,116,1167
,,,,,
"URBANA (012)",8025,1192,2408,2130,2295
"Asiste actualmente (013)",6123,754,2351,2026,992
"No asiste (014)",1902,438,57,104,1303
"Hombres (016)",4089,600,1248,1074,1167
"Asiste actualmente (017)",3125,373,1219,1011,522
"No asiste (018)",964,227,29,63,645
"Mujeres (020)",3936,592,1160,1056,1128
"Asiste actualmente (021)",2998,381,1132,1015,470
"No asiste (022)",938,211,28,41,658
,,,,,
"RURAL (024)",5497,858,1835,1351,1453
"Asiste actualmente (025)",3760,438,1730,1213,379
"No asiste (026)",1737,420,105,138,1074
"Hombres (028)",2817,453,895,682,787
"Asiste actualmente (029)",1916,222,853,619,222
"No asiste (030)",901,231,42,63,565
"Mujeres (032)",2680,405,940,669,666
"Asiste actualmente (033)",1844,216,877,594,157
"No asiste (034)",836,189,63,75,509
