"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",11512,1748,3719,2961,3084
"Asiste actualmente (001)",8152,912,3411,2665,1164
"No asiste (002)",3360,836,308,296,1920
"Hombres (004)",5835,886,1881,1524,1544
"Asiste actualmente (005)",4271,459,1718,1393,701
"No asiste (006)",1564,427,163,131,843
"Mujeres (008)",5677,862,1838,1437,1540
"Asiste actualmente (009)",3881,453,1693,1272,463
"No asiste (010)",1796,409,145,165,1077
,,,,,
"URBANA (012)",1245,168,378,359,340
"Asiste actualmente (013)",958,92,358,338,170
"No asiste (014)",287,76,20,21,170
"Hombres (016)",629,87,194,176,172
"Asiste actualmente (017)",497,48,183,165,101
"No asiste (018)",132,39,11,11,71
"Mujeres (020)",616,81,184,183,168
"Asiste actualmente (021)",461,44,175,173,69
"No asiste (022)",155,37,9,10,99
,,,,,
"RURAL (024)",10267,1580,3341,2602,2744
"Asiste actualmente (025)",7194,820,3053,2327,994
"No asiste (026)",3073,760,288,275,1750
"Hombres (028)",5206,799,1687,1348,1372
"Asiste actualmente (029)",3774,411,1535,1228,600
"No asiste (030)",1432,388,152,120,772
"Mujeres (032)",5061,781,1654,1254,1372
"Asiste actualmente (033)",3420,409,1518,1099,394
"No asiste (034)",1641,372,136,155,978
