"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JUNIN (000)",662,207,455
"De 14 a 29 años (001)",330,156,174
"De 30 a 44 años (002)",199,41,158
"De 45 a 64 años (003)",115,10,105
"De 65 y más años (004)",18,,18
"Hombres (005)",502,146,356
"De 14 a 29 años (006)",233,105,128
"De 30 a 44 años (007)",157,32,125
"De 45 a 64 años (008)",97,9,88
"De 65 y más años (009)",15,,15
"Mujeres (010)",160,61,99
"De 14 a 29 años (011)",97,51,46
"De 30 a 44 años (012)",42,9,33
"De 45 a 64 años (013)",18,1,17
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",571,169,402
"De 14 a 29 años (016)",277,124,153
"De 30 a 44 años (017)",173,36,137
"De 45 a 64 años (018)",106,9,97
"De 65 y más años (019)",15,,15
"Hombres (020)",428,117,311
"De 14 a 29 años (021)",192,82,110
"De 30 a 44 años (022)",134,27,107
"De 45 a 64 años (023)",90,8,82
"De 65 y más años (024)",12,,12
"Mujeres (025)",143,52,91
"De 14 a 29 años (026)",85,42,43
"De 30 a 44 años (027)",39,9,30
"De 45 a 64 años (028)",16,1,15
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",91,38,53
"De 14 a 29 años (031)",53,32,21
"De 30 a 44 años (032)",26,5,21
"De 45 a 64 años (033)",9,1,8
"De 65 y más años (034)",3,,3
"Hombres (035)",74,29,45
"De 14 a 29 años (036)",41,23,18
"De 30 a 44 años (037)",23,5,18
"De 45 a 64 años (038)",7,1,6
"De 65 y más años (039)",3,,3
"Mujeres (040)",17,9,8
"De 14 a 29 años (041)",12,9,3
"De 30 a 44 años (042)",3,,3
"De 45 a 64 años (043)",2,,2
