"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHOTA (000)",38911,15818,23093
"Red pública dentro de la vivienda (001)",10841,7775,3066
"Red pública fuera de la vivienda (002)",6402,2996,3406
"Pilón de uso público (003)",1149,243,906
"Camión - cisterna u otro similar (004)",19,7,12
"Pozo (005)",12190,2490,9700
"Río, acequia, manatial o similar (006)",6581,1739,4842
"Vecino (007)",1096,323,773
"Otro (008)",633,245,388
,,,
"URBANA (010)",8457,7141,1316
"Red pública dentro de la vivienda (011)",6363,5701,662
"Red pública fuera de la vivienda (012)",748,613,135
"Pilón de uso público (013)",32,13,19
"Camión - cisterna u otro similar (014)",2,2,
"Pozo (015)",242,152,90
"Río, acequia, manatial o similar (016)",434,343,91
"Vecino (017)",254,96,158
"Otro (018)",382,221,161
,,,
"RURAL (020)",30454,8677,21777
"Red pública dentro de la vivienda (021)",4478,2074,2404
"Red pública fuera de la vivienda (022)",5654,2383,3271
"Pilón de uso público (023)",1117,230,887
"Camión - cisterna u otro similar (024)",17,5,12
"Pozo (025)",11948,2338,9610
"Río, acequia, manatial o similar (026)",6147,1396,4751
"Vecino (027)",842,227,615
"Otro (028)",251,24,227
