"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia GRAN CHIMU (000)",29400,623,9373,6983,5470,4484,2467
"Casa independiente (001)",29027,619,9248,6895,5394,4432,2439
"Departamento en edificio (002)",66,,21,17,17,9,2
"Vivienda en quinta (003)",44,,17,10,8,6,3
"Vivienda en casa de vecindad (004)",97,1,33,33,15,14,1
"Choza o cabaña (005)",160,3,54,24,35,23,21
"Vivienda improvisada (006)",3,,,2,1,,
"Local no destinado para hab.humana (007)",3,,,2,,,1
,,,,,,,
"URBANA (009)",6480,106,1822,1595,1318,1036,603
"Casa independiente (010)",6268,105,1751,1531,1277,1007,597
"Departamento en edificio (011)",66,,21,17,17,9,2
"Vivienda en quinta (012)",44,,17,10,8,6,3
"Vivienda en casa de vecindad (013)",97,1,33,33,15,14,1
"Vivienda improvisada (015)",3,,,2,1,,
"Local no destinado para hab.humana (016)",2,,,2,,,
,,,,,,,
"RURAL (018)",22920,517,7551,5388,4152,3448,1864
"Casa independiente (019)",22759,514,7497,5364,4117,3425,1842
"Choza o cabaña (023)",160,3,54,24,35,23,21
"Local no destinado para hab.humana (025)",1,,,,,,1
