"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHEPEN (000)",21449,329,7999,6472,2561,1062,447,126,15,,2438
"Sin Nivel (001)",3573,102,1557,1030,286,136,85,44,5,,328
"Educación Inicial (002)",34,,18,11,2,,,,,,3
"Primaria (003)",6842,157,3159,1952,593,268,121,37,2,,553
"Secundaria (004)",5989,54,2389,1875,654,239,102,17,2,,657
"Sup. no Univ. Incompleta (005)",1010,1,240,377,143,55,15,1,1,,177
"Sup. no Univ. Completa (006)",2240,7,356,731,495,197,61,17,2,,374
"Sup. Univ. Incompleta (007)",509,2,103,178,69,20,16,3,1,,117
"Sup. Univ. Completa (008)",1252,6,177,318,319,147,47,7,2,,229
,,,,,,,,,,,
"URBANA (010)",17839,253,6431,5401,2246,958,401,106,13,,2030
"Sin Nivel (011)",2511,76,1079,706,186,105,70,37,4,,248
"Educación Inicial (012)",29,,15,9,2,,,,,,3
"Primaria (013)",5405,119,2454,1550,488,233,104,29,1,,427
"Secundaria (014)",5192,43,2048,1637,581,216,97,16,2,,552
"Sup. no Univ. Incompleta (015)",918,1,228,338,136,48,13,1,1,,152
"Sup. no Univ. Completa (016)",2106,6,343,690,473,189,57,15,2,,331
"Sup. Univ. Incompleta (017)",475,2,101,171,66,20,14,2,1,,98
"Sup. Univ. Completa (018)",1203,6,163,300,314,147,46,6,2,,219
,,,,,,,,,,,
"RURAL (020)",3610,76,1568,1071,315,104,46,20,2,,408
"Sin Nivel (021)",1062,26,478,324,100,31,15,7,1,,80
"Educación Inicial (022)",5,,3,2,,,,,,,
"Primaria (023)",1437,38,705,402,105,35,17,8,1,,126
"Secundaria (024)",797,11,341,238,73,23,5,1,,,105
"Sup. no Univ. Incompleta (025)",92,,12,39,7,7,2,,,,25
"Sup. no Univ. Completa (026)",134,1,13,41,22,8,4,2,,,43
"Sup. Univ. Incompleta (027)",34,,2,7,3,,2,1,,,19
"Sup. Univ. Completa (028)",49,,14,18,5,,1,1,,,10
