"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARI (000)",15712,3427,5131,5451,97,1384,222
"Conviviente (001)",4250,907,1561,1467,22,263,30
"Separado(a) (002)",335,68,110,111,5,21,20
"Casado(a) (003)",7026,1433,2048,2886,48,555,56
"Viudo(a) (004)",418,37,91,234,1,44,11
"Divorciado(a) (005)",61,22,16,20,,3,
"Soltero(a) (006)",3622,960,1305,733,21,498,105
"Hombres (008)",12882,2373,4823,4606,77,987,16
"Conviviente (009)",3651,681,1496,1274,18,180,2
"Separado(a) (010)",180,26,90,59,1,4,
"Casado(a) (011)",5910,1042,1939,2525,40,358,6
"Viudo(a) (012)",218,13,53,133,1,18,
"Divorciado(a) (013)",43,10,14,17,,2,
"Soltero(a) (014)",2880,601,1231,598,17,425,8
"Mujeres (016)",2830,1054,308,845,20,397,206
"Conviviente (017)",599,226,65,193,4,83,28
"Separado(a) (018)",155,42,20,52,4,17,20
"Casado(a) (019)",1116,391,109,361,8,197,50
"Viudo(a) (020)",200,24,38,101,,26,11
"Divorciado(a) (021)",18,12,2,3,,1,
"Soltero(a) (022)",742,359,74,135,4,73,97
,,,,,,,
"URBANA (024)",6189,2064,1417,2081,66,411,150
"Conviviente (025)",1650,538,429,566,15,88,14
"Separado(a) (026)",161,45,40,52,1,8,15
"Casado(a) (027)",2758,928,523,1066,34,169,38
"Viudo(a) (028)",163,27,26,90,,14,6
"Divorciado(a) (029)",19,11,5,3,,,
"Soltero(a) (030)",1438,515,394,304,16,132,77
"Hombres (032)",4392,1254,1286,1540,58,242,12
"Conviviente (033)",1257,360,401,434,14,46,2
"Separado(a) (034)",73,16,30,25,1,1,
"Casado(a) (035)",1998,598,468,821,29,77,5
"Viudo(a) (036)",67,10,15,37,,5,
"Divorciado(a) (037)",9,3,4,2,,,
"Soltero(a) (038)",988,267,368,221,14,113,5
"Mujeres (040)",1797,810,131,541,8,169,138
"Conviviente (041)",393,178,28,132,1,42,12
"Separado(a) (042)",88,29,10,27,,7,15
"Casado(a) (043)",760,330,55,245,5,92,33
"Viudo(a) (044)",96,17,11,53,,9,6
"Divorciado(a) (045)",10,8,1,1,,,
"Soltero(a) (046)",450,248,26,83,2,19,72
,,,,,,,
"RURAL (048)",9523,1363,3714,3370,31,973,72
"Conviviente (049)",2600,369,1132,901,7,175,16
"Separado(a) (050)",174,23,70,59,4,13,5
"Casado(a) (051)",4268,505,1525,1820,14,386,18
"Viudo(a) (052)",255,10,65,144,1,30,5
"Divorciado(a) (053)",42,11,11,17,,3,
"Soltero(a) (054)",2184,445,911,429,5,366,28
"Hombres (056)",8490,1119,3537,3066,19,745,4
"Conviviente (057)",2394,321,1095,840,4,134,
"Separado(a) (058)",107,10,60,34,,3,
"Casado(a) (059)",3912,444,1471,1704,11,281,1
"Viudo(a) (060)",151,3,38,96,1,13,
"Divorciado(a) (061)",34,7,10,15,,2,
"Soltero(a) (062)",1892,334,863,377,3,312,3
"Mujeres (064)",1033,244,177,304,12,228,68
"Conviviente (065)",206,48,37,61,3,41,16
"Separado(a) (066)",67,13,10,25,4,10,5
"Casado(a) (067)",356,61,54,116,3,105,17
"Viudo(a) (068)",104,7,27,48,,17,5
"Divorciado(a) (069)",8,4,1,2,,1,
"Soltero(a) (070)",292,111,48,52,2,54,25
