"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OYON (000)",5213,57,1877,1742,585,173,88,50,6,,635
"Conviviente (001)",1759,16,656,575,202,60,26,15,2,,207
"Separado(a) (002)",222,1,85,71,33,11,4,3,,,14
"Casado(a) (003)",2207,22,826,795,265,71,42,18,1,,167
"Viudo(a) (004)",530,11,206,179,40,18,10,9,2,,55
"Divorciado(a) (005)",22,1,9,5,3,1,1,,,,2
"Soltero(a) (006)",473,6,95,117,42,12,5,5,1,,190
,,,,,,,,,,,
"URBANA (008)",3605,42,1287,1235,413,118,59,33,5,,413
"Conviviente (009)",1128,14,407,389,132,38,16,5,2,,125
"Separado(a) (010)",163,1,67,49,20,9,3,3,,,11
"Casado(a) (011)",1643,14,612,587,207,49,31,15,1,,127
"Viudo(a) (012)",361,8,140,127,24,13,6,6,1,,36
"Divorciado(a) (013)",16,1,7,3,3,,1,,,,1
"Soltero(a) (014)",294,4,54,80,27,9,2,4,1,,113
,,,,,,,,,,,
"RURAL (016)",1608,15,590,507,172,55,29,17,1,,222
"Conviviente (017)",631,2,249,186,70,22,10,10,,,82
"Separado(a) (018)",59,,18,22,13,2,1,,,,3
"Casado(a) (019)",564,8,214,208,58,22,11,3,,,40
"Viudo(a) (020)",169,3,66,52,16,5,4,3,1,,19
"Divorciado(a) (021)",6,,2,2,,1,,,,,1
"Soltero(a) (022)",179,2,41,37,15,3,3,1,,,77
