"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARI (000)",15553,14826,54,2365,2281,2129,3642,2625,1323,407,727,61853
"De 12 a 14 años (001)",30,11,,8,3,,,,,,19,14
"De 15 a 19 años (002)",359,297,3,253,34,3,4,,,,62,346
"De 20 a 24 años (003)",1454,1226,6,732,361,98,25,4,,,228,1878
"De 25 a 29 años (004)",1656,1485,2,458,490,312,209,13,1,,171,3341
"De 30 a 34 años (005)",1531,1466,3,239,357,350,397,106,13,1,65,4519
"De 35 a 39 años (006)",1723,1672,3,139,270,324,572,285,74,5,51,6688
"De 40 a 44 años (007)",1517,1490,4,69,178,218,484,358,146,33,27,7123
"De 45 a 49 años (008)",1309,1293,1,72,117,162,360,338,182,61,16,6747
"De 50 y más años (009)",5974,5886,32,395,471,662,1591,1521,907,307,88,31197
"PEA (010)",2376,2157,6,479,480,355,481,227,102,27,219,7231
"De 15 a 19 años (012)",23,19,,17,1,1,,,,,4,22
"De 20 a 24 años (013)",201,128,1,94,26,4,2,1,,,73,173
"De 25 a 29 años (014)",316,245,,135,59,33,17,1,,,71,429
"De 30 a 34 años (015)",353,321,,92,111,62,49,6,1,,32,759
"De 35 a 39 años (016)",384,370,2,59,112,75,101,19,2,,14,1087
"De 40 a 44 años (017)",298,288,,19,66,70,99,23,7,4,10,1047
"De 45 a 49 años (018)",246,241,,23,44,46,65,46,13,4,5,995
"De 50 y más años (019)",555,545,3,40,61,64,148,131,79,19,10,2719
"Ocupada (020)",2276,2084,6,450,468,345,465,225,98,27,192,7029
"De 15 a 19 años (022)",20,17,,15,1,1,,,,,3,20
"De 20 a 24 años (023)",180,118,1,86,25,4,2,,,,62,156
