"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TOCACHE (000)",29486,644,10499,10581,6628,1134
"Empleado (001)",4894,22,1984,2089,765,34
"Obrero (002)",5927,103,2803,1897,1008,116
"Trabajador independiente (003)",14341,96,3705,5492,4185,863
"Empleador o patrono (004)",731,1,151,313,227,39
"Trabajador familiar no remunerado (005)",2958,383,1555,610,344,66
"Trabajador del hogar (006)",635,39,301,180,99,16
"Hombres (008)",23032,477,8376,8000,5235,944
"Empleado (009)",3317,13,1342,1381,558,23
"Obrero (010)",5396,94,2602,1691,903,106
"Trabajador independiente (011)",11877,72,3112,4445,3485,763
"Empleador o patrono (012)",607,,131,256,189,31
"Trabajador familiar no remunerado (013)",1803,296,1177,219,91,20
"Trabajador del hogar (014)",32,2,12,8,9,1
"Mujeres (016)",6454,167,2123,2581,1393,190
"Empleado (017)",1577,9,642,708,207,11
"Obrero (018)",531,9,201,206,105,10
"Trabajador independiente (019)",2464,24,593,1047,700,100
"Empleador o patrono (020)",124,1,20,57,38,8
"Trabajador familiar no remunerado (021)",1155,87,378,391,253,46
"Trabajador del hogar (022)",603,37,289,172,90,15
,,,,,,
"URBANA (024)",15070,310,5103,5674,3485,498
"Empleado (025)",4308,19,1767,1820,672,30
"Obrero (026)",2324,53,974,736,506,55
"Trabajador independiente (027)",6500,50,1606,2545,1951,348
"Empleador o patrono (028)",384,1,69,173,120,21
"Trabajador familiar no remunerado (029)",1115,163,472,280,166,34
"Trabajador del hogar (030)",439,24,215,120,70,10
"Hombres (032)",10659,209,3704,3830,2526,390
"Empleado (033)",2928,12,1205,1201,488,22
"Obrero (034)",2065,48,884,635,448,50
"Trabajador independiente (035)",4757,32,1214,1763,1459,289
"Empleador o patrono (036)",290,,58,125,91,16
"Trabajador familiar no remunerado (037)",596,115,334,100,35,12
"Trabajador del hogar (038)",23,2,9,6,5,1
"Mujeres (040)",4411,101,1399,1844,959,108
"Empleado (041)",1380,7,562,619,184,8
"Obrero (042)",259,5,90,101,58,5
"Trabajador independiente (043)",1743,18,392,782,492,59
"Empleador o patrono (044)",94,1,11,48,29,5
"Trabajador familiar no remunerado (045)",519,48,138,180,131,22
"Trabajador del hogar (046)",416,22,206,114,65,9
,,,,,,
"RURAL (048)",14416,334,5396,4907,3143,636
"Empleado (049)",586,3,217,269,93,4
"Obrero (050)",3603,50,1829,1161,502,61
"Trabajador independiente (051)",7841,46,2099,2947,2234,515
"Empleador o patrono (052)",347,,82,140,107,18
"Trabajador familiar no remunerado (053)",1843,220,1083,330,178,32
"Trabajador del hogar (054)",196,15,86,60,29,6
"Hombres (056)",12373,268,4672,4170,2709,554
"Empleado (057)",389,1,137,180,70,1
"Obrero (058)",3331,46,1718,1056,455,56
"Trabajador independiente (059)",7120,40,1898,2682,2026,474
"Empleador o patrono (060)",317,,73,131,98,15
"Trabajador familiar no remunerado (061)",1207,181,843,119,56,8
"Trabajador del hogar (062)",9,,3,2,4,
"Mujeres (064)",2043,66,724,737,434,82
"Empleado (065)",197,2,80,89,23,3
"Obrero (066)",272,4,111,105,47,5
"Trabajador independiente (067)",721,6,201,265,208,41
"Empleador o patrono (068)",30,,9,9,9,3
"Trabajador familiar no remunerado (069)",636,39,240,211,122,24
"Trabajador del hogar (070)",187,15,83,58,25,6
