"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",25055,768,9020,8669,5341,1257
"Empleado (001)",3756,27,1164,1781,732,52
"Obrero (002)",4822,103,2009,1557,927,226
"Trabajador independiente (003)",10690,113,2964,3962,2856,795
"Empleador o patrono (004)",613,7,136,201,200,69
"Trabajador familiar no remunerado (005)",3856,425,2056,851,439,85
"Trabajador del hogar (006)",502,35,264,118,74,11
"Desocupado (008)",816,58,427,199,113,19
"Hombres (009)",18222,532,6431,6129,4056,1074
"Empleado (010)",2035,17,549,945,491,33
"Obrero (011)",4320,89,1804,1382,831,214
"Trabajador independiente (012)",8549,81,2320,3155,2306,687
"Empleador o patrono (013)",500,3,106,155,175,61
"Trabajador familiar no remunerado (014)",2194,300,1343,336,155,60
"Trabajador del hogar (015)",21,4,10,3,3,1
"Desocupado (017)",603,38,299,153,95,18
"Mujeres (018)",6833,236,2589,2540,1285,183
"Empleado (019)",1721,10,615,836,241,19
"Obrero (020)",502,14,205,175,96,12
"Trabajador independiente (021)",2141,32,644,807,550,108
"Empleador o patrono (022)",113,4,30,46,25,8
"Trabajador familiar no remunerado (023)",1662,125,713,515,284,25
"Trabajador del hogar (024)",481,31,254,115,71,10
"Desocupado (026)",213,20,128,46,18,1
,,,,,,
"URBANA (027)",12662,322,4065,4703,2960,612
"Empleado (028)",3299,26,1039,1535,652,47
"Obrero (029)",1952,38,704,684,431,95
"Trabajador independiente (030)",5154,63,1319,1903,1488,381
"Empleador o patrono (031)",326,2,59,120,109,36
"Trabajador familiar no remunerado (032)",1012,162,463,222,134,31
"Trabajador del hogar (033)",400,22,215,94,62,7
"Desocupado (035)",519,9,266,145,84,15
"Hombres (036)",8614,236,2701,3038,2126,513
"Empleado (037)",1747,17,493,784,423,30
"Obrero (038)",1761,34,647,602,387,91
"Trabajador independiente (039)",3889,49,1020,1382,1116,322
"Empleador o patrono (040)",270,2,52,86,97,33
"Trabajador familiar no remunerado (041)",565,122,312,78,31,22
"Trabajador del hogar (042)",16,4,6,3,2,1
"Desocupado (044)",366,8,171,103,70,14
"Mujeres (045)",4048,86,1364,1665,834,99
"Empleado (046)",1552,9,546,751,229,17
"Obrero (047)",191,4,57,82,44,4
"Trabajador independiente (048)",1265,14,299,521,372,59
"Empleador o patrono (049)",56,,7,34,12,3
"Trabajador familiar no remunerado (050)",447,40,151,144,103,9
"Trabajador del hogar (051)",384,18,209,91,60,6
"Desocupado (053)",153,1,95,42,14,1
,,,,,,
"RURAL (054)",12393,446,4955,3966,2381,645
"Empleado (055)",457,1,125,246,80,5
"Obrero (056)",2870,65,1305,873,496,131
"Trabajador independiente (057)",5536,50,1645,2059,1368,414
"Empleador o patrono (058)",287,5,77,81,91,33
"Trabajador familiar no remunerado (059)",2844,263,1593,629,305,54
"Trabajador del hogar (060)",102,13,49,24,12,4
"Desocupado (062)",297,49,161,54,29,4
"Hombres (063)",9608,296,3730,3091,1930,561
"Empleado (064)",288,,56,161,68,3
"Obrero (065)",2559,55,1157,780,444,123
"Trabajador independiente (066)",4660,32,1300,1773,1190,365
"Empleador o patrono (067)",230,1,54,69,78,28
"Trabajador familiar no remunerado (068)",1629,178,1031,258,124,38
"Trabajador del hogar (069)",5,,4,,1,
"Desocupado (071)",237,30,128,50,25,4
"Mujeres (072)",2785,150,1225,875,451,84
"Empleado (073)",169,1,69,85,12,2
"Obrero (074)",311,10,148,93,52,8
"Trabajador independiente (075)",876,18,345,286,178,49
"Empleador o patrono (076)",57,4,23,12,13,5
"Trabajador familiar no remunerado (077)",1215,85,562,371,181,16
"Trabajador del hogar (078)",97,13,45,24,11,4
"Desocupado (080)",60,19,33,4,4,
