"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARAZ (000)",58335,56474,18506,8620,8625,6206,7244,3871,2090,1312,1861,133603
"De 12 a 14 años (001)",4604,4585,4575,10,,,,,,,19,10
"De 15 a 19 años (002)",7070,7005,6448,501,48,4,4,,,,65,625
"De 20 a 24 años (003)",7176,6555,3657,2052,675,136,29,6,,,621,3971
"De 25 a 29 años (004)",6607,6049,1691,2125,1500,519,202,11,1,,558,7606
"De 30 a 34 años (005)",5957,5712,763,1463,1868,958,555,86,14,5,245,11173
"De 35 a 39 años (006)",5187,5080,374,795,1527,1134,956,234,50,10,107,13391
"De 40 a 44 años (007)",4361,4298,243,497,1075,947,1027,354,117,38,63,13605
"De 45 a 49 años (008)",3671,3626,161,319,643,745,1014,488,192,64,45,13758
"De 50 y más años (009)",13702,13564,594,858,1289,1763,3457,2692,1716,1195,138,69464
"PEA (010)",19596,18628,5062,3828,3595,2371,2238,892,423,219,968,39682
"De 12 a 14 años (011)",149,149,148,1,,,,,,,,1
"De 15 a 19 años (012)",1312,1293,1171,111,10,1,,,,,19,134
"De 20 a 24 años (013)",2513,2232,1451,598,148,28,6,1,,,281,1009
"De 25 a 29 años (014)",3066,2715,1126,968,455,118,44,4,,,351,2441
"De 30 a 34 años (015)",2782,2609,524,853,775,302,131,17,4,3,173,4037
"De 35 a 39 años (016)",2427,2360,240,511,767,474,305,52,8,3,67,5217
"De 40 a 44 años (017)",2103,2071,131,308,620,482,393,97,29,11,32,5656
"De 45 a 49 años (018)",1721,1699,100,198,381,394,422,143,44,17,22,5475
"De 50 y más años (019)",3523,3500,171,280,439,572,937,578,338,185,23,15712
"Ocupada (020)",18466,17596,4579,3591,3448,2287,2189,870,416,216,870,38452
