"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LA UNION (000)",5650,715,756,2770,65,1266,78
"Sin nivel (001)",999,11,115,493,7,343,30
"Educación inicial (002)",4,,2,2,,,
"Primaria (003)",1932,28,235,1122,32,495,20
"Secundaria (004)",1485,73,300,749,10,328,25
"Superior no univ. incompleta (005)",202,44,26,101,3,27,1
"Superior no univ. completa (006)",438,197,43,157,6,34,1
"Superior univ. incompleta (007)",121,36,14,49,2,19,1
"Superior univ. completa (008)",469,326,21,97,5,20,
"Hombres (010)",3455,369,608,1963,49,451,15
"Sin nivel (011)",348,5,61,230,2,47,3
"Educación inicial (012)",1,,1,,,,
"Primaria (013)",1282,15,200,864,25,172,6
"Secundaria (014)",1070,48,256,575,8,178,5
"Superior no univ. incompleta (015)",144,26,22,76,2,18,
"Superior no univ. completa (016)",263,97,38,111,5,11,1
"Superior univ. incompleta (017)",82,19,12,39,2,10,
"Superior univ. completa (018)",265,159,18,68,5,15,
"Mujeres (020)",2195,346,148,807,16,815,63
"Sin nivel (021)",651,6,54,263,5,296,27
"Educación inicial (022)",3,,1,2,,,
"Primaria (023)",650,13,35,258,7,323,14
"Secundaria (024)",415,25,44,174,2,150,20
"Superior no univ. incompleta (025)",58,18,4,25,1,9,1
"Superior no univ. completa (026)",175,100,5,46,1,23,
"Superior univ. incompleta (027)",39,17,2,10,,9,1
"Superior univ. completa (028)",204,167,3,29,,5,
,,,,,,,
"URBANA (030)",2808,602,413,1201,48,507,37
"Sin nivel (031)",327,8,31,171,5,109,3
"Educación inicial (032)",3,,2,1,,,
"Primaria (033)",774,18,128,416,24,176,12
"Secundaria (034)",813,57,189,375,7,165,20
"Superior no univ. incompleta (035)",131,35,21,53,2,20,
"Superior no univ. completa (036)",291,170,21,84,3,12,1
"Superior univ. incompleta (037)",89,30,9,34,2,13,1
"Superior univ. completa (038)",380,284,12,67,5,12,
"Hombres (040)",1621,299,333,761,37,180,11
"Sin nivel (041)",87,3,15,57,,12,
"Educación inicial (042)",1,,1,,,,
"Primaria (043)",490,11,107,287,19,60,6
"Secundaria (044)",533,34,155,258,6,76,4
"Superior no univ. incompleta (045)",97,22,19,40,2,14,
"Superior no univ. completa (046)",154,80,18,49,3,3,1
"Superior univ. incompleta (047)",58,15,8,25,2,8,
"Superior univ. completa (048)",201,134,10,45,5,7,
"Mujeres (050)",1187,303,80,440,11,327,26
"Sin nivel (051)",240,5,16,114,5,97,3
"Educación inicial (052)",2,,1,1,,,
"Primaria (053)",284,7,21,129,5,116,6
"Secundaria (054)",280,23,34,117,1,89,16
"Superior no univ. incompleta (055)",34,13,2,13,,6,
"Superior no univ. completa (056)",137,90,3,35,,9,
"Superior univ. incompleta (057)",31,15,1,9,,5,1
"Superior univ. completa (058)",179,150,2,22,,5,
,,,,,,,
"RURAL (060)",2842,113,343,1569,17,759,41
"Sin nivel (061)",672,3,84,322,2,234,27
"Educación inicial (062)",1,,,1,,,
"Primaria (063)",1158,10,107,706,8,319,8
"Secundaria (064)",672,16,111,374,3,163,5
"Superior no univ. incompleta (065)",71,9,5,48,1,7,1
"Superior no univ. completa (066)",147,27,22,73,3,22,
"Superior univ. incompleta (067)",32,6,5,15,,6,
"Superior univ. completa (068)",89,42,9,30,,8,
"Hombres (070)",1834,70,275,1202,12,271,4
"Sin nivel (071)",261,2,46,173,2,35,3
"Primaria (073)",792,4,93,577,6,112,
"Secundaria (074)",537,14,101,317,2,102,1
"Superior no univ. incompleta (075)",47,4,3,36,,4,
"Superior no univ. completa (076)",109,17,20,62,2,8,
"Superior univ. incompleta (077)",24,4,4,14,,2,
"Superior univ. completa (078)",64,25,8,23,,8,
"Mujeres (080)",1008,43,68,367,5,488,37
"Sin nivel (081)",411,1,38,149,,199,24
"Educación inicial (082)",1,,,1,,,
"Primaria (083)",366,6,14,129,2,207,8
"Secundaria (084)",135,2,10,57,1,61,4
"Superior no univ. incompleta (085)",24,5,2,12,1,3,1
"Superior no univ. completa (086)",38,10,2,11,1,14,
"Superior univ. incompleta (087)",8,2,1,1,,4,
"Superior univ. completa (088)",25,17,1,7,,,
