"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SATIPO (000)",102182,15875,31240,22343,32724
"Asiste actualmente (001)",58777,3659,28194,18722,8202
"No asiste (002)",43405,12216,3046,3621,24522
"Hombres (004)",53738,8129,15947,11776,17886
"Asiste actualmente (005)",30744,1867,14339,9890,4648
"No asiste (006)",22994,6262,1608,1886,13238
"Mujeres (008)",48444,7746,15293,10567,14838
"Asiste actualmente (009)",28033,1792,13855,8832,3554
"No asiste (010)",20411,5954,1438,1735,11284
,,,,,
"URBANA (012)",26659,3360,7483,6629,9187
"Asiste actualmente (013)",18125,1256,7168,6069,3632
"No asiste (014)",8534,2104,315,560,5555
"Hombres (016)",13567,1750,3713,3364,4740
"Asiste actualmente (017)",9294,656,3555,3087,1996
"No asiste (018)",4273,1094,158,277,2744
"Mujeres (020)",13092,1610,3770,3265,4447
"Asiste actualmente (021)",8831,600,3613,2982,1636
"No asiste (022)",4261,1010,157,283,2811
,,,,,
"RURAL (024)",75523,12515,23757,15714,23537
"Asiste actualmente (025)",40652,2403,21026,12653,4570
"No asiste (026)",34871,10112,2731,3061,18967
"Hombres (028)",40171,6379,12234,8412,13146
"Asiste actualmente (029)",21450,1211,10784,6803,2652
"No asiste (030)",18721,5168,1450,1609,10494
"Mujeres (032)",35352,6136,11523,7302,10391
"Asiste actualmente (033)",19202,1192,10242,5850,1918
"No asiste (034)",16150,4944,1281,1452,8473
