"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUANCAVELICA (000)",33548,21472,12076
"Red pública de desague dentro de la vivienda (001)",6079,5947,132
"Red pública de desague fuera de la vivienda (002)",2351,2244,107
"Pozo séptico (003)",707,417,290
"Pozo ciego o negro / letrina (004)",4517,2714,1803
"Río, acequia o canal (005)",396,237,159
"No tiene (006)",19498,9913,9585
,,,
"URBANA (008)",14318,12656,1662
"Red pública de desague dentro de la vivienda (009)",5933,5812,121
"Red pública de desague fuera de la vivienda (010)",2230,2141,89
"Pozo séptico (011)",261,215,46
"Pozo ciego o negro / letrina (012)",565,467,98
"Río, acequia o canal (013)",203,182,21
"No tiene (014)",5126,3839,1287
,,,
"RURAL (016)",19230,8816,10414
"Red pública de desague dentro de la vivienda (017)",146,135,11
"Red pública de desague fuera de la vivienda (018)",121,103,18
"Pozo séptico (019)",446,202,244
"Pozo ciego o negro / letrina (020)",3952,2247,1705
"Río, acequia o canal (021)",193,55,138
"No tiene (022)",14372,6074,8298
