"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",21744,5112,498,10335,4829,260,294,106,310
"Jefe o Jefa (001)",7092,1803,5,3066,1695,107,171,38,207
"Esposa(o)/ compa¤era(o) (002)",3962,1321,7,1894,620,35,39,11,35
"Hijo(a)/ hijastro(a) (003)",8636,1425,410,4512,2084,78,51,42,34
"Yerno/ nuera (004)",148,7,,59,70,5,2,2,3
"Nieto(a) (005)",586,148,44,306,81,3,2,1,1
"Padres/ suegros (006)",223,167,,52,2,,1,,1
"Otro(a) pariente (007)",945,219,30,410,223,23,23,7,10
"Trabajador(a) del hogar (008)",12,5,1,4,2,,,,
"Pensionista (009)",13,,,4,7,2,,,
"Otro(a) no pariente (010)",127,17,1,28,45,7,5,5,19
"Hombres (012)",10486,1523,245,5071,2974,169,195,74,235
"Jefe o Jefa (013)",4858,596,4,2349,1452,93,143,35,186
"Esposa(o)/ compa¤era(o) (014)",178,26,1,71,58,9,2,3,8
"Hijo(a)/ hijastro(a) (015)",4478,723,196,2214,1222,52,25,26,20
"Yerno/ nuera (016)",63,3,,20,37,1,,,2
"Nieto(a) (017)",320,77,26,165,48,2,1,1,
"Padres/ suegros (018)",54,23,,27,2,,1,,1
"Otro(a) pariente (019)",457,68,17,209,122,9,21,5,6
"Trabajador(a) del hogar (020)",1,,,1,,,,,
"Pensionista (021)",5,,,1,3,1,,,
"Otro(a) no pariente (022)",72,7,1,14,30,2,2,4,12
"Mujeres (024)",11258,3589,253,5264,1855,91,99,32,75
"Jefe o Jefa (025)",2234,1207,1,717,243,14,28,3,21
"Esposa(o)/ compa¤era(o) (026)",3784,1295,6,1823,562,26,37,8,27
"Hijo(a)/ hijastro(a) (027)",4158,702,214,2298,862,26,26,16,14
"Yerno/ nuera (028)",85,4,,39,33,4,2,2,1
"Nieto(a) (029)",266,71,18,141,33,1,1,,1
"Padres/ suegros (030)",169,144,,25,,,,,
"Otro(a) pariente (031)",488,151,13,201,101,14,2,2,4
"Trabajador(a) del hogar (032)",11,5,1,3,2,,,,
"Pensionista (033)",8,,,3,4,1,,,
"Otro(a) no pariente (034)",55,10,,14,15,5,3,1,7
,,,,,,,,,
"URBANA (036)",6678,1175,170,2827,1848,176,182,69,231
"Jefe o Jefa (037)",2221,396,1,856,627,69,100,23,149
"Esposa(o)/ compa¤era(o) (038)",1135,260,,499,284,25,28,9,30
"Hijo(a)/ hijastro(a) (039)",2500,354,144,1145,723,49,31,28,26
"Yerno/ nuera (040)",51,2,,15,26,5,,,3
"Nieto(a) (041)",179,46,12,88,29,2,1,,1
"Padres/ suegros (042)",78,47,,27,2,,1,,1
"Otro(a) pariente (043)",418,60,12,176,122,18,16,5,9
"Trabajador(a) del hogar (044)",8,2,1,3,2,,,,
"Pensionista (045)",9,,,3,4,2,,,
"Otro(a) no pariente (046)",79,8,,15,29,6,5,4,12
"Hombres (048)",3210,332,82,1318,1036,107,112,49,174
