"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ESPINAR (000)",60806,1101,22210,15049,10355,8080,4011
"Jefe o Jefa (001)",16792,,132,3174,5696,5162,2628
"Esposa(o) / compañera(o) (002)",8936,,24,2324,3425,2429,734
"Hijo(a) / hijastro(a) (003)",27842,875,18791,7390,690,92,4
"Yerno / nuera (004)",494,,6,372,100,16,
"Nieto(a) (005)",2041,174,1639,224,4,,
"Padres / suegros (006)",604,,,,16,135,453
"Otro(a) pariente (007)",3001,41,1436,979,241,158,146
"Trabajador(a) del hogar (008)",102,,13,73,2,10,4
"Pensionistas (009)",34,,1,18,10,4,1
"Otro(a) no pariente (010)",960,11,168,495,171,74,41
"Hombres (011)",29953,570,11409,7293,4882,3951,1848
"Jefe o Jefa (012)",11309,,67,1991,4038,3600,1613
"Esposa(o) / compañera(o) (013)",661,,17,255,210,133,46
"Hijo(a) / hijastro(a) (014)",14495,442,9622,4035,351,43,2
"Yerno / nuera (015)",167,,3,110,48,6,
"Nieto(a) (016)",1073,97,851,122,3,,
"Padres / suegros (017)",174,,,,5,41,128
"Otro(a) pariente (018)",1533,22,754,509,125,79,44
"Trabajador(a) del hogar (019)",15,,2,9,,4,
"Pensionistas (020)",21,,,10,7,4,
"Otro(a) no pariente (021)",505,9,93,252,95,41,15
"Mujeres (022)",30853,531,10801,7756,5473,4129,2163
"Jefe o Jefa (023)",5483,,65,1183,1658,1562,1015
"Esposa(o) / compañera(o) (024)",8275,,7,2069,3215,2296,688
"Hijo(a) / hijastro(a) (025)",13347,433,9169,3355,339,49,2
"Yerno / nuera (026)",327,,3,262,52,10,
"Nieto(a) (027)",968,77,788,102,1,,
"Padres / suegros (028)",430,,,,11,94,325
"Otro(a) pariente (029)",1468,19,682,470,116,79,102
"Trabajador(a) del hogar (030)",87,,11,64,2,6,4
"Pensionistas (031)",13,,1,8,3,,1
"Otro(a) no pariente (032)",455,2,75,243,76,33,26
,,,,,,,
"URBANA (033)",26878,516,9969,7667,5015,2736,975
"Jefe o Jefa (034)",7417,,114,1991,2915,1823,574
"Esposa(o) / compañera(o) (035)",3571,,12,1242,1519,682,116
"Hijo(a) / hijastro(a) (036)",11926,399,8329,2955,221,21,1
"Yerno / nuera (037)",242,,1,187,48,6,
"Nieto(a) (038)",727,88,548,91,,,
"Padres / suegros (039)",288,,,,7,84,197
"Otro(a) pariente (040)",1795,21,826,677,146,65,60
"Trabajador(a) del hogar (041)",77,,11,63,2,1,
"Pensionistas (042)",33,,1,17,10,4,1
"Otro(a) no pariente (043)",802,8,127,444,147,50,26
"Hombres (044)",13198,269,5170,3665,2308,1390,396
"Jefe o Jefa (045)",4709,,58,1186,1919,1240,306
"Esposa(o) / compañera(o) (046)",326,,8,171,92,40,15
"Hijo(a) / hijastro(a) (047)",6211,206,4310,1582,103,9,1
"Yerno / nuera (048)",91,,1,61,25,4,
"Nieto(a) (049)",380,45,284,51,,,
"Padres / suegros (050)",80,,,,2,24,54
"Otro(a) pariente (051)",940,11,438,363,78,39,11
"Trabajador(a) del hogar (052)",11,,2,8,,1,
"Pensionistas (053)",21,,,10,7,4,
"Otro(a) no pariente (054)",429,7,69,233,82,29,9
"Mujeres (055)",13680,247,4799,4002,2707,1346,579
"Jefe o Jefa (056)",2708,,56,805,996,583,268
"Esposa(o) / compañera(o) (057)",3245,,4,1071,1427,642,101
"Hijo(a) / hijastro(a) (058)",5715,193,4019,1373,118,12,
"Yerno / nuera (059)",151,,,126,23,2,
"Nieto(a) (060)",347,43,264,40,,,
"Padres / suegros (061)",208,,,,5,60,143
"Otro(a) pariente (062)",855,10,388,314,68,26,49
"Trabajador(a) del hogar (063)",66,,9,55,2,,
"Pensionistas (064)",12,,1,7,3,,1
"Otro(a) no pariente (065)",373,1,58,211,65,21,17
,,,,,,,
"RURAL (066)",33928,585,12241,7382,5340,5344,3036
"Jefe o Jefa (067)",9375,,18,1183,2781,3339,2054
"Esposa(o) / compañera(o) (068)",5365,,12,1082,1906,1747,618
"Hijo(a) / hijastro(a) (069)",15916,476,10462,4435,469,71,3
"Yerno / nuera (070)",252,,5,185,52,10,
"Nieto(a) (071)",1314,86,1091,133,4,,
"Padres / suegros (072)",316,,,,9,51,256
"Otro(a) pariente (073)",1206,20,610,302,95,93,86
"Trabajador(a) del hogar (074)",25,,2,10,,9,4
"Pensionistas (075)",1,,,1,,,
"Otro(a) no pariente (076)",158,3,41,51,24,24,15
"Hombres (077)",16755,301,6239,3628,2574,2561,1452
"Jefe o Jefa (078)",6600,,9,805,2119,2360,1307
"Esposa(o) / compañera(o) (079)",335,,9,84,118,93,31
"Hijo(a) / hijastro(a) (080)",8284,236,5312,2453,248,34,1
"Yerno / nuera (081)",76,,2,49,23,2,
"Nieto(a) (082)",693,52,567,71,3,,
"Padres / suegros (083)",94,,,,3,17,74
"Otro(a) pariente (084)",593,11,316,146,47,40,33
"Trabajador(a) del hogar (085)",4,,,1,,3,
"Otro(a) no pariente (087)",76,2,24,19,13,12,6
"Mujeres (088)",17173,284,6002,3754,2766,2783,1584
"Jefe o Jefa (089)",2775,,9,378,662,979,747
"Esposa(o) / compañera(o) (090)",5030,,3,998,1788,1654,587
"Hijo(a) / hijastro(a) (091)",7632,240,5150,1982,221,37,2
"Yerno / nuera (092)",176,,3,136,29,8,
"Nieto(a) (093)",621,34,524,62,1,,
"Padres / suegros (094)",222,,,,6,34,182
"Otro(a) pariente (095)",613,9,294,156,48,53,53
"Trabajador(a) del hogar (096)",21,,2,9,,6,4
"Pensionistas (097)",1,,,1,,,
"Otro(a) no pariente (098)",82,1,17,32,11,12,9
