"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUARI (000)",29089,4160,8870,7709,8350
"Asiste actualmente (001)",20471,2242,8397,6915,2917
"No asiste (002)",8618,1918,473,794,5433
"Hombres (004)",15040,2081,4471,3923,4565
"Asiste actualmente (005)",10623,1117,4258,3555,1693
"No asiste (006)",4417,964,213,368,2872
"Mujeres (008)",14049,2079,4399,3786,3785
"Asiste actualmente (009)",9848,1125,4139,3360,1224
"No asiste (010)",4201,954,260,426,2561
,,,,,
"URBANA (012)",10252,1470,3003,2793,2986
"Asiste actualmente (013)",7654,904,2861,2583,1306
"No asiste (014)",2598,566,142,210,1680
"Hombres (016)",5340,753,1553,1452,1582
"Asiste actualmente (017)",3988,433,1486,1342,727
"No asiste (018)",1352,320,67,110,855
"Mujeres (020)",4912,717,1450,1341,1404
"Asiste actualmente (021)",3666,471,1375,1241,579
"No asiste (022)",1246,246,75,100,825
,,,,,
"RURAL (024)",18837,2690,5867,4916,5364
"Asiste actualmente (025)",12817,1338,5536,4332,1611
"No asiste (026)",6020,1352,331,584,3753
"Hombres (028)",9700,1328,2918,2471,2983
"Asiste actualmente (029)",6635,684,2772,2213,966
"No asiste (030)",3065,644,146,258,2017
"Mujeres (032)",9137,1362,2949,2445,2381
"Asiste actualmente (033)",6182,654,2764,2119,645
"No asiste (034)",2955,708,185,326,1736
