"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PACASMAYO (000)",23493,19709,3784
"Red pública dentro de la vivienda (001)",13909,12876,1033
"Red pública fuera de la vivienda (002)",1557,1336,221
"Pilón de uso público (003)",957,773,184
"Camión - cisterna u otro similar (004)",318,244,74
"Pozo (005)",4475,3314,1161
"Río, acequia, manatial o similar (006)",436,105,331
"Vecino (007)",1505,869,636
"Otro (008)",336,192,144
,,,
"URBANA (010)",21827,19035,2792
"Red pública dentro de la vivienda (011)",13671,12695,976
"Red pública fuera de la vivienda (012)",1467,1262,205
"Pilón de uso público (013)",883,715,168
"Camión - cisterna u otro similar (014)",316,243,73
"Pozo (015)",3606,3028,578
"Río, acequia, manatial o similar (016)",90,49,41
"Vecino (017)",1473,852,621
"Otro (018)",321,191,130
,,,
"RURAL (020)",1666,674,992
"Red pública dentro de la vivienda (021)",238,181,57
"Red pública fuera de la vivienda (022)",90,74,16
"Pilón de uso público (023)",74,58,16
"Camión - cisterna u otro similar (024)",2,1,1
"Pozo (025)",869,286,583
"Río, acequia, manatial o similar (026)",346,56,290
"Vecino (027)",32,17,15
"Otro (028)",15,1,14
