"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANCANE (000)",1022,527,495
"De 14 a 29 años (001)",537,363,174
"De 30 a 44 años (002)",305,143,162
"De 45 a 64 años (003)",132,21,111
"De 65 y más años (004)",48,,48
"Hombres (005)",787,375,412
"De 14 a 29 años (006)",372,242,130
"De 30 a 44 años (007)",256,114,142
"De 45 a 64 años (008)",118,19,99
"De 65 y más años (009)",41,,41
"Mujeres (010)",235,152,83
"De 14 a 29 años (011)",165,121,44
"De 30 a 44 años (012)",49,29,20
"De 45 a 64 años (013)",14,2,12
"De 65 y más años (014)",7,,7
,,,
"AREA URBANA (015)",408,187,221
"De 14 a 29 años (016)",221,130,91
"De 30 a 44 años (017)",121,48,73
"De 45 a 64 años (018)",52,9,43
"De 65 y más años (019)",14,,14
"Hombres (020)",286,118,168
"De 14 a 29 años (021)",146,82,64
"De 30 a 44 años (022)",88,28,60
"De 45 a 64 años (023)",42,8,34
"De 65 y más años (024)",10,,10
"Mujeres (025)",122,69,53
"De 14 a 29 años (026)",75,48,27
"De 30 a 44 años (027)",33,20,13
"De 45 a 64 años (028)",10,1,9
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",614,340,274
"De 14 a 29 años (031)",316,233,83
"De 30 a 44 años (032)",184,95,89
"De 45 a 64 años (033)",80,12,68
"De 65 y más años (034)",34,,34
"Hombres (035)",501,257,244
"De 14 a 29 años (036)",226,160,66
"De 30 a 44 años (037)",168,86,82
"De 45 a 64 años (038)",76,11,65
"De 65 y más años (039)",31,,31
"Mujeres (040)",113,83,30
"De 14 a 29 años (041)",90,73,17
"De 30 a 44 años (042)",16,9,7
"De 45 a 64 años (043)",4,1,3
"De 65 y más años (044)",3,,3
