"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia LUYA",,,,,,,
"Viviendas particulares (001)",11658,1248,71,99,9778,279,183
"Ocupantes presentes (002)",48151,4391,293,403,41502,870,692
"Casa independiente",,,,,,,
"Viviendas particulares (004)",11468,1209,71,99,9680,230,179
"Ocupantes presentes (005)",47554,4280,293,403,41191,706,681
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",4,3,,,1,,
"Ocupantes presentes (008)",7,3,,,4,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",5,4,,,1,,
"Ocupantes presentes (011)",16,13,,,3,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",43,25,,,17,1,
"Ocupantes presentes (014)",143,67,,,74,2,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",127,7,,,75,42,3
"Ocupantes presentes (017)",403,28,,,217,151,7
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1,,,,,1,
"Ocupantes presentes (020)",5,,,,,5,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,,,,2,5,
"Ocupantes presentes (023)",12,,,,6,6,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,,,,2,,1
"Ocupantes presentes (026)",11,,,,7,,4
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",5004,659,57,47,4036,140,65
"Ocupantes presentes (029)",19349,2204,248,199,16026,460,212
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4944,627,57,47,4013,136,64
"Ocupantes presentes (032)",19158,2121,248,199,15932,450,208
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",4,3,,,1,,
"Ocupantes presentes (035)",7,3,,,4,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",5,4,,,1,,
"Ocupantes presentes (038)",16,13,,,3,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",43,25,,,17,1,
"Ocupantes presentes (041)",143,67,,,74,2,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1,,,,,1,
"Ocupantes presentes (047)",5,,,,,5,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",4,,,,2,2,
"Ocupantes presentes (050)",9,,,,6,3,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",3,,,,2,,1
"Ocupantes presentes (053)",11,,,,7,,4
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6654,589,14,52,5742,139,118
"Ocupantes presentes (056)",28802,2187,45,204,25476,410,480
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6524,582,14,52,5667,94,115
"Ocupantes presentes (059)",28396,2159,45,204,25259,256,473
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",127,7,,,75,42,3
"Ocupantes presentes (071)",403,28,,,217,151,7
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",3,,,,,3,
"Ocupantes presentes (077)",3,,,,,3,
"Otro tipo",,,,,,,
