"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCANE (000)",69522,965,20628,15452,11298,12161,9018
"Hombres (001)",33780,508,10533,7695,5299,5624,4121
"Mujeres (002)",35742,457,10095,7757,5999,6537,4897
"Viviendas particulares (003)",68806,962,20575,15105,11101,12066,8997
"Hombres (004)",33296,507,10507,7431,5171,5572,4108
"Mujeres (005)",35510,455,10068,7674,5930,6494,4889
"Viviendas colectivas (006)",344,2,10,168,104,57,3
"Hombres (007)",253,,5,152,63,31,2
"Mujeres (008)",91,2,5,16,41,26,1
"Otro tipo (009)",372,1,43,179,93,38,18
"Hombres (010)",231,1,21,112,65,21,11
"Mujeres (011)",141,,22,67,28,17,7
,,,,,,,
"URBANA (012)",13851,211,3952,3810,2761,2111,1006
"Hombres (013)",6981,121,2052,1921,1315,1057,515
"Mujeres (014)",6870,90,1900,1889,1446,1054,491
"Viviendas particulares (015)",13146,208,3905,3465,2567,2016,985
"Hombres (016)",6501,120,2028,1659,1187,1005,502
"Mujeres (017)",6645,88,1877,1806,1380,1011,483
"Viviendas colectivas (018)",334,2,4,166,102,57,3
"Hombres (019)",249,,3,150,63,31,2
"Mujeres (020)",85,2,1,16,39,26,1
"Otro tipo (021)",371,1,43,179,92,38,18
"Hombres (022)",231,1,21,112,65,21,11
"Mujeres (023)",140,,22,67,27,17,7
,,,,,,,
"RURAL (024)",55671,754,16676,11642,8537,10050,8012
"Hombres (025)",26799,387,8481,5774,3984,4567,3606
"Mujeres (026)",28872,367,8195,5868,4553,5483,4406
"Viviendas particulares (027)",55660,754,16670,11640,8534,10050,8012
"Hombres (028)",26795,387,8479,5772,3984,4567,3606
"Mujeres (029)",28865,367,8191,5868,4550,5483,4406
"Viviendas colectivas (030)",10,,6,2,2,,
"Hombres (031)",4,,2,2,,,
"Mujeres (032)",6,,4,,2,,
"Otro tipo (033)",1,,,,1,,
"Mujeres (035)",1,,,,1,,
