"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AYMARAES (000)",27801,11867,2760,1035,12491
"Quechua (001)",19754,8217,1261,422,9953
"Aymara (002)",42,13,11,7,16
"Asháninka (003)",4,2,,1,2
"Otra lengua nativa (004)",3,1,,,2
"Castellano (005)",7953,3618,1487,604,2491
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",44,16,1,1,26
"Hombres (009)",14206,5192,1711,818,6818
"Quechua (010)",9732,3388,754,302,5386
"Aymara (011)",20,3,9,6,6
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",2,1,,,1
"Castellano (014)",4435,1797,947,509,1413
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",15,3,1,1,10
"Mujeres (018)",13595,6675,1049,217,5673
"Quechua (019)",10022,4829,507,120,4567
"Aymara (020)",22,10,2,1,10
"Asháninka (021)",3,2,,1,1
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",3518,1821,540,95,1078
"Es Sordomudo/a (025)",29,13,,,16
,,,,,
"URBANA (027)",12009,4366,1540,271,5855
"Quechua (028)",7039,2189,653,108,4095
"Aymara (029)",17,4,4,,9
"Asháninka (030)",1,,,,1
"Otra lengua nativa (031)",2,1,,,1
"Castellano (032)",4937,2171,882,162,1739
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",12,1,1,1,9
"Hombres (036)",5948,2005,790,164,3002
"Quechua (037)",3353,909,352,60,2037
"Aymara (038)",7,1,2,,4
"Otra lengua nativa (040)",1,1,,,
"Castellano (041)",2581,1094,435,103,957
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",5,,1,1,3
"Mujeres (045)",6061,2361,750,107,2853
"Quechua (046)",3686,1280,301,48,2058
"Aymara (047)",10,3,2,,5
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",2356,1077,447,59,782
"Es Sordomudo/a (052)",7,1,,,6
,,,,,
"RURAL (054)",15792,7501,1220,764,6636
"Quechua (055)",12715,6028,608,314,5858
"Aymara (056)",25,9,7,7,7
"Asháninka (057)",3,2,,1,1
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",3016,1447,605,442,752
"Es Sordomudo/a (061)",32,15,,,17
"Hombres (063)",8258,3187,921,654,3816
"Quechua (064)",6379,2479,402,242,3349
"Aymara (065)",13,2,7,6,2
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",1854,703,512,406,456
"Es Sordomudo/a (070)",10,3,,,7
"Mujeres (072)",7534,4314,299,110,2820
"Quechua (073)",6336,3549,206,72,2509
"Aymara (074)",12,7,,1,5
"Asháninka (075)",2,2,,1,
"Castellano (077)",1162,744,93,36,296
"Es Sordomudo/a (079)",22,12,,,10
