"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",35,33,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",5,5,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",2,1,1
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",15,15,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,9,1
