"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MOHO (000)",21070,3462,2911,2923,2917,2576,6281
"Católica (001)",13466,2261,1861,1927,1901,1685,3831
"Cristiana/Evangélica (002)",2015,289,265,261,268,251,681
"Otra (003)",2982,375,375,402,408,359,1063
"Ninguna (004)",2607,537,410,333,340,281,706
"Hombres (006)",10240,1848,1481,1377,1405,1230,2899
"Católica (007)",6736,1232,947,930,922,843,1862
"Cristiana/Evangélica (008)",916,141,129,114,125,110,297
"Otra (009)",1413,200,181,190,203,153,486
"Ninguna (010)",1175,275,224,143,155,124,254
"Mujeres (012)",10830,1614,1430,1546,1512,1346,3382
"Católica (013)",6730,1029,914,997,979,842,1969
"Cristiana/Evangélica (014)",1099,148,136,147,143,141,384
"Otra (015)",1569,175,194,212,205,206,577
"Ninguna (016)",1432,262,186,190,185,157,452
,,,,,,,
"URBANA (018)",5942,1087,956,1050,965,730,1154
"Católica (019)",4311,801,675,787,720,531,797
"Cristiana/Evangélica (020)",505,111,80,76,76,69,93
"Otra (021)",555,67,110,88,100,65,125
"Ninguna (022)",571,108,91,99,69,65,139
"Hombres (024)",3097,599,506,509,488,395,600
"Católica (025)",2277,452,355,389,368,289,424
"Cristiana/Evangélica (026)",251,53,40,33,39,36,50
"Otra (027)",293,38,60,43,49,35,68
"Ninguna (028)",276,56,51,44,32,35,58
"Mujeres (030)",2845,488,450,541,477,335,554
"Católica (031)",2034,349,320,398,352,242,373
"Cristiana/Evangélica (032)",254,58,40,43,37,33,43
"Otra (033)",262,29,50,45,51,30,57
"Ninguna (034)",295,52,40,55,37,30,81
,,,,,,,
"RURAL (036)",15128,2375,1955,1873,1952,1846,5127
"Católica (037)",9155,1460,1186,1140,1181,1154,3034
"Cristiana/Evangélica (038)",1510,178,185,185,192,182,588
"Otra (039)",2427,308,265,314,308,294,938
"Ninguna (040)",2036,429,319,234,271,216,567
"Hombres (042)",7143,1249,975,868,917,835,2299
"Católica (043)",4459,780,592,541,554,554,1438
"Cristiana/Evangélica (044)",665,88,89,81,86,74,247
"Otra (045)",1120,162,121,147,154,118,418
"Ninguna (046)",899,219,173,99,123,89,196
"Mujeres (048)",7985,1126,980,1005,1035,1011,2828
"Católica (049)",4696,680,594,599,627,600,1596
"Cristiana/Evangélica (050)",845,90,96,104,106,108,341
"Otra (051)",1307,146,144,167,154,176,520
"Ninguna (052)",1137,210,146,135,148,127,371
