"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia BOLIVAR",,,,,,,,,
"Viviendas particulares (001)",3727,57,188,,2,171,3262,44,3
"Ocupantes presentes (002)",16570,217,834,,5,727,14634,145,8
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3531,46,186,,2,165,3085,44,3
"Ocupantes presentes (005)",15700,180,816,,5,704,13842,145,8
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,6,2,,,,,,
"Ocupantes presentes (011)",50,32,18,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,5,,,,,,,
"Ocupantes presentes (014)",5,5,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",180,,,,,6,174,,
"Ocupantes presentes (017)",802,,,,,23,779,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,,,,,,3,,
"Ocupantes presentes (023)",13,,,,,,13,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1347,32,157,,,7,1131,18,2
"Ocupantes presentes (029)",5674,110,685,,,26,4795,54,4
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1332,21,155,,,7,1129,18,2
"Ocupantes presentes (032)",5611,73,667,,,26,4787,54,4
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,6,2,,,,,,
"Ocupantes presentes (038)",50,32,18,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,5,,,,,,,
"Ocupantes presentes (041)",5,5,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,,,,,2,,
"Ocupantes presentes (050)",8,,,,,,8,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2380,25,31,,2,164,2131,26,1
"Ocupantes presentes (056)",10896,107,149,,5,701,9839,91,4
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2199,25,31,,2,158,1956,26,1
"Ocupantes presentes (059)",10089,107,149,,5,678,9055,91,4
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",180,,,,,6,174,,
"Ocupantes presentes (071)",802,,,,,23,779,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,1,,
"Ocupantes presentes (077)",5,,,,,,5,,
"Otro tipo",,,,,,,,,
