"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YUNGAY (000)",13784,155,5215,4912,1413,453,223,71,6,,1336
"Catolica (001)",12787,141,4852,4542,1326,421,206,65,6,,1228
"Cristiana / Evangelica (002)",891,13,334,331,73,27,15,6,,,92
"Otra (003)",58,,13,22,12,4,1,,,,6
"Ninguna (004)",48,1,16,17,2,1,1,,,,10
,,,,,,,,,,,
"URBANA (006)",3557,60,1185,1136,468,172,82,23,2,,429
"Catolica (007)",3282,54,1093,1050,438,157,74,21,2,,393
"Cristiana / Evangelica (008)",210,5,74,69,20,11,6,2,,,23
"Otra (009)",37,,7,11,9,3,1,,,,6
"Ninguna (010)",28,1,11,6,1,1,1,,,,7
,,,,,,,,,,,
"RURAL (012)",10227,95,4030,3776,945,281,141,48,4,,907
"Catolica (013)",9505,87,3759,3492,888,264,132,44,4,,835
"Cristiana / Evangelica (014)",681,8,260,262,53,16,9,4,,,69
"Otra (015)",21,,6,11,3,1,,,,,
"Ninguna (016)",20,,5,11,1,,,,,,3
