"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia COTABAMBAS (000)",7522,4915,1267,469,871
"Empleado (001)",1476,346,297,276,557
"Obrero (002)",1373,616,290,156,311
"Trabajador independiente (003)",3033,2633,400,,
"Empleador o patrono (004)",38,27,6,5,
"Trabajador familiar no remunerado (005)",1447,1138,274,32,3
"Trabajador del hogar (006)",155,155,,,
"De 06 a 14 años (008)",144,115,28,1,
"Empleado (009)",6,4,1,1,
"Obrero (010)",8,5,3,,
"Trabajador independiente (011)",13,13,,,
"Trabajador familiar no remunerado (013)",102,78,24,,
"Trabajador del hogar (014)",15,15,,,
"De 15 a 29 años (016)",2089,1265,395,138,291
"Empleado (017)",438,110,87,60,181
"Obrero (018)",474,188,108,69,109
"Trabajador independiente (019)",678,569,109,,
"Empleador o patrono (020)",14,12,,2,
"Trabajador familiar no remunerado (021)",418,319,91,7,1
"Trabajador del hogar (022)",67,67,,,
"De 30 a 44 años (024)",2860,1714,478,217,451
"Empleado (025)",754,163,158,148,285
"Obrero (026)",519,195,106,53,165
"Trabajador independiente (027)",1108,971,137,,
"Empleador o patrono (028)",11,5,5,1,
"Trabajador familiar no remunerado (029)",429,341,72,15,1
"Trabajador del hogar (030)",39,39,,,
"De 45 a 64 años (032)",1849,1326,299,102,122
"Empleado (033)",266,66,50,63,87
"Obrero (034)",305,183,60,28,34
"Trabajador independiente (035)",886,766,120,,
"Empleador o patrono (036)",10,8,1,1,
"Trabajador familiar no remunerado (037)",359,280,68,10,1
"Trabajador del hogar (038)",23,23,,,
"De 65 y más años (040)",580,495,67,11,7
"Empleado (041)",12,3,1,4,4
"Obrero (042)",67,45,13,6,3
"Trabajador independiente (043)",348,314,34,,
"Empleador o patrono (044)",3,2,,1,
"Trabajador familiar no remunerado (045)",139,120,19,,
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",3456,1885,482,327,762
"Empleado (049)",1245,272,230,243,500
"Obrero (050)",716,280,105,71,260
"Trabajador independiente (051)",1057,956,101,,
"Empleador o patrono (052)",22,17,2,3,
"Trabajador familiar no remunerado (053)",345,289,44,10,2
"Trabajador del hogar (054)",71,71,,,
"De 06 a 14 años (056)",59,55,3,1,
"Empleado (057)",5,3,1,1,
