"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTABAMBA (000)",11373,2299,331,4736,3071,222,276,127,311
"Quechua (001)",8771,1955,179,3838,2256,158,166,69,150
"Aymara (002)",32,8,1,14,6,1,1,,1
"Ashaninca (003)",3,,,3,,,,,
"Otra lengua nativa (004)",9,1,,5,2,,1,,
"Castellano (005)",2532,318,151,874,806,63,105,58,157
"Idioma extranjero (006)",6,,,,,,3,,3
"Es sordomudo/a (007)",20,17,,2,1,,,,
"Hombres (009)",5802,726,175,2446,1835,146,180,88,206
"Quechua (010)",4403,536,97,2002,1395,104,113,51,105
"Aymara (011)",9,,,5,2,,1,,1
"Ashaninca (012)",2,,,2,,,,,
"Otra lengua nativa (013)",4,,,3,,,1,,
"Castellano (014)",1368,180,78,433,437,42,63,37,98
"Idioma extranjero (015)",4,,,,,,2,,2
"Es sordomudo/a (016)",12,10,,1,1,,,,
"Mujeres (018)",5571,1573,156,2290,1236,76,96,39,105
"Quechua (019)",4368,1419,82,1836,861,54,53,18,45
"Aymara (020)",23,8,1,9,4,1,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",5,1,,2,2,,,,
"Castellano (023)",1164,138,73,441,369,21,42,21,59
"Idioma extranjero (024)",2,,,,,,1,,1
"Es sordomudo/a (025)",8,7,,1,,,,,
,,,,,,,,,
"URBANA (027)",8029,1290,255,3203,2461,186,241,110,283
"Quechua (028)",5661,980,113,2378,1719,126,149,60,136
"Aymara (029)",29,7,1,13,5,1,1,,1
"Ashaninca (030)",1,,,1,,,,,
"Otra lengua nativa (031)",9,1,,5,2,,1,,
"Castellano (032)",2307,289,141,804,734,59,87,50,143
"Idioma extranjero (033)",6,,,,,,3,,3
"Es sordomudo/a (034)",16,13,,2,1,,,,
"Hombres (036)",4036,400,132,1554,1421,120,152,73,184
"Quechua (037)",2784,229,58,1154,1029,80,98,43,93
"Aymara (038)",7,,,4,1,,1,,1
"Otra lengua nativa (040)",4,,,3,,,1,,
"Castellano (041)",1227,163,74,392,390,40,50,30,88
"Idioma extranjero (042)",4,,,,,,2,,2
"Es sordomudo/a (043)",10,8,,1,1,,,,
"Mujeres (045)",3993,890,123,1649,1040,66,89,37,99
"Quechua (046)",2877,751,55,1224,690,46,51,17,43
"Aymara (047)",22,7,1,9,4,1,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",5,1,,2,2,,,,
"Castellano (050)",1080,126,67,412,344,19,37,20,55
"Idioma extranjero (051)",2,,,,,,1,,1
"Es sordomudo/a (052)",6,5,,1,,,,,
,,,,,,,,,
"RURAL (054)",3344,1009,76,1533,610,36,35,17,28
"Quechua (055)",3110,975,66,1460,537,32,17,9,14
"Aymara (056)",3,1,,1,1,,,,
"Ashaninca (057)",2,,,2,,,,,
"Castellano (059)",225,29,10,70,72,4,18,8,14
"Es sordomudo/a (061)",4,4,,,,,,,
"Hombres (063)",1766,326,43,892,414,26,28,15,22
"Quechua (064)",1619,307,39,848,366,24,15,8,12
"Aymara (065)",2,,,1,1,,,,
"Ashaninca (066)",2,,,2,,,,,
"Castellano (068)",141,17,4,41,47,2,13,7,10
"Es sordomudo/a (070)",2,2,,,,,,,
"Mujeres (072)",1578,683,33,641,196,10,7,2,6
"Quechua (073)",1491,668,27,612,171,8,2,1,2
"Aymara (074)",1,1,,,,,,,
"Castellano (077)",84,12,6,29,25,2,5,1,4
"Es sordomudo/a (079)",2,2,,,,,,,
