"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RIOJA (000)",35369,34271,9903,5081,4854,3846,4782,2848,1745,1212,1098,94072
"De 12 a 14 años (001)",4024,3977,3945,27,5,,,,,,47,37
"De 15 a 19 años (002)",5358,5191,4053,961,151,22,4,,,,167,1345
"De 20 a 24 años (003)",4550,4175,1079,1699,1027,292,71,7,,,375,4968
"De 25 a 29 años (004)",4188,3952,333,1142,1239,743,448,41,6,,236,8061
"De 30 a 34 años (005)",3767,3659,153,568,1015,854,840,188,34,7,108,10352
"De 35 a 39 años (006)",3427,3379,101,289,647,728,1067,428,103,16,48,12195
"De 40 a 44 años (007)",2646,2611,74,134,336,475,758,527,226,81,35,11773
"De 45 a 49 años (008)",1998,1976,44,75,157,297,559,435,277,132,22,10396
"De 50 y más años (009)",5411,5351,121,186,277,435,1035,1222,1099,976,60,34945
"PEA (010)",9370,8942,1909,1573,1513,1254,1357,712,382,242,428,24806
"De 12 a 14 años (011)",299,294,287,6,1,,,,,,5,8
"De 15 a 19 años (012)",1027,992,800,170,15,6,1,,,,35,222
"De 20 a 24 años (013)",1245,1094,407,437,192,48,9,1,,,151,1008
"De 25 a 29 años (014)",1280,1151,188,395,303,169,86,6,4,,129,1949
"De 30 a 34 años (015)",1233,1177,85,263,346,256,185,38,3,1,56,2787
"De 35 a 39 años (016)",1297,1267,55,147,313,294,325,111,20,2,30,3967
"De 40 a 44 años (017)",955,950,33,61,168,222,255,137,55,19,5,3725
"De 45 a 49 años (018)",718,712,17,42,80,136,196,131,76,34,6,3337
"De 50 y más años (019)",1316,1305,37,52,95,123,300,288,224,186,11,7803
"Ocupada (020)",9099,8695,1804,1528,1483,1234,1329,704,374,239,404,24363
"De 12 a 14 años (021)",280,275,269,5,1,,,,,,5,7
