"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",19761,5966,1455,300,12048
"Quechua (001)",17956,5556,958,225,11225
"Aymara (002)",16,4,2,,10
"Asháninka (003)",1,1,,,
"Otra lengua nativa (004)",2,1,,,1
"Castellano (005)",1709,396,495,75,743
"Es Sordomudo/a (007)",77,8,,,69
"Hombres (009)",9531,2866,791,178,5701
"Quechua (010)",8607,2663,541,133,5275
"Aymara (011)",6,1,,,5
"Asháninka (012)",1,1,,,
"Castellano (014)",873,195,250,45,383
"Es Sordomudo/a (016)",44,6,,,38
"Mujeres (018)",10230,3100,664,122,6347
"Quechua (019)",9349,2893,417,92,5950
"Aymara (020)",10,3,2,,5
"Otra lengua nativa (022)",2,1,,,1
"Castellano (023)",836,201,245,30,360
"Es Sordomudo/a (025)",33,2,,,31
,,,,,
"URBANA (027)",3163,509,699,120,1837
"Quechua (028)",2096,353,330,64,1351
"Aymara (029)",2,,1,,1
"Castellano (032)",1061,156,368,56,481
"Es Sordomudo/a (034)",4,,,,4
"Hombres (036)",1551,233,368,74,877
"Quechua (037)",1015,158,187,41,630
"Castellano (041)",532,75,181,33,243
"Es Sordomudo/a (043)",4,,,,4
"Mujeres (045)",1612,276,331,46,960
"Quechua (046)",1081,195,143,23,721
"Aymara (047)",2,,1,,1
"Castellano (050)",529,81,187,23,238
,,,,,
"RURAL (054)",16598,5457,756,180,10211
"Quechua (055)",15860,5203,628,161,9874
"Aymara (056)",14,4,1,,9
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",2,1,,,1
"Castellano (059)",648,240,127,19,262
"Es Sordomudo/a (061)",73,8,,,65
"Hombres (063)",7980,2633,423,104,4824
"Quechua (064)",7592,2505,354,92,4645
"Aymara (065)",6,1,,,5
"Asháninka (066)",1,1,,,
"Castellano (068)",341,120,69,12,140
"Es Sordomudo/a (070)",40,6,,,34
"Mujeres (072)",8618,2824,333,76,5387
"Quechua (073)",8268,2698,274,69,5229
"Aymara (074)",8,3,1,,4
"Otra lengua nativa (076)",2,1,,,1
"Castellano (077)",307,120,58,7,122
"Es Sordomudo/a (079)",33,2,,,31
