"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAEN (000)",136,123,13
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",75,72,3
"Casa pensión (003)",7,5,2
"Hospital, clinica (004)",10,9,1
"Cárcel, centro de readaptación social (005)",2,2,
"Aldea infantil, orfelinato, etc (007)",3,2,1
"Otro (008)",33,28,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,5,1
