"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTA (000)",14526,273,6201,4432,1195,421,192,59,14,,1739
"Sin Nivel (001)",4520,133,1980,1293,356,167,87,33,8,,463
"Educación Inicial (002)",16,1,11,2,1,,,,,,1
"Primaria (003)",5413,116,2766,1548,362,116,57,21,3,,424
"Secundaria (004)",3450,20,1330,1232,271,74,33,2,2,,486
"Sup. no Univ. Incompleta (005)",325,2,48,116,37,13,4,,,,105
"Sup. no Univ. Completa (006)",363,,31,123,76,19,4,,1,,109
"Sup. Univ. Incompleta (007)",186,1,24,46,28,9,3,,,,75
"Sup. Univ. Completa (008)",253,,11,72,64,23,4,3,,,76
,,,,,,,,,,,
"URBANA (010)",5282,86,1967,1604,532,200,95,29,5,,764
"Sin Nivel (011)",1140,38,433,288,102,62,34,15,1,,167
"Educación Inicial (012)",6,,5,,1,,,,,,
"Primaria (013)",1728,34,833,480,132,57,27,12,1,,152
"Secundaria (014)",1636,12,614,599,150,32,20,1,2,,206
"Sup. no Univ. Incompleta (015)",206,1,36,72,26,8,3,,,,60
"Sup. no Univ. Completa (016)",249,,20,85,55,14,4,,1,,70
"Sup. Univ. Incompleta (017)",134,1,18,31,19,8,3,,,,54
"Sup. Univ. Completa (018)",183,,8,49,47,19,4,1,,,55
,,,,,,,,,,,
"RURAL (020)",9244,187,4234,2828,663,221,97,30,9,,975
"Sin Nivel (021)",3380,95,1547,1005,254,105,53,18,7,,296
"Educación Inicial (022)",10,1,6,2,,,,,,,1
"Primaria (023)",3685,82,1933,1068,230,59,30,9,2,,272
"Secundaria (024)",1814,8,716,633,121,42,13,1,,,280
"Sup. no Univ. Incompleta (025)",119,1,12,44,11,5,1,,,,45
"Sup. no Univ. Completa (026)",114,,11,38,21,5,,,,,39
"Sup. Univ. Incompleta (027)",52,,6,15,9,1,,,,,21
"Sup. Univ. Completa (028)",70,,3,23,17,4,,2,,,21
