"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia SAN MIGUEL",,,,,,,,,
"Viviendas particulares (001)",14703,4887,5292,1908,1413,440,357,140,266
"Ocupantes presentes (002)",55940,17915,20145,7480,5484,1770,1417,575,1154
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",14335,4640,5214,1886,1400,434,357,140,264
"Ocupantes presentes (005)",54536,17028,19837,7367,5427,1738,1417,575,1147
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",5,1,2,,,,,,2
"Ocupantes presentes (011)",33,9,17,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",7,5,2,,,,,,
"Ocupantes presentes (014)",21,15,6,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",343,232,71,21,13,6,,,
"Ocupantes presentes (017)",1311,838,278,106,57,32,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",5,3,1,1,,,,,
"Ocupantes presentes (020)",18,10,1,7,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,5,2,,,,,,
"Ocupantes presentes (023)",20,14,6,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",1,1,,,,,,,
"Ocupantes presentes (026)",1,1,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2536,354,765,394,449,167,159,74,174
"Ocupantes presentes (029)",8930,1062,2487,1391,1655,638,592,319,786
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2518,344,760,393,449,167,159,74,172
"Ocupantes presentes (032)",8857,1027,2463,1384,1655,638,592,319,779
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",5,1,2,,,,,,2
"Ocupantes presentes (038)",33,9,17,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",7,5,2,,,,,,
"Ocupantes presentes (041)",21,15,6,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",5,3,1,1,,,,,
"Ocupantes presentes (047)",18,10,1,7,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",12167,4533,4527,1514,964,273,198,66,92
"Ocupantes presentes (056)",47010,16853,17658,6089,3829,1132,825,256,368
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",11817,4296,4454,1493,951,267,198,66,92
"Ocupantes presentes (059)",45679,16001,17374,5983,3772,1100,825,256,368
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",343,232,71,21,13,6,,,
"Ocupantes presentes (071)",1311,838,278,106,57,32,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",6,4,2,,,,,,
"Ocupantes presentes (077)",19,13,6,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,,
