"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA CONVENCION (000)",144394,15299,1036,63631,52020,3097,3326,2312,3673
"Hombres (001)",76739,5191,497,33374,30710,1688,1716,1352,2211
"Mujeres (002)",67655,10108,539,30257,21310,1409,1610,960,1462
"PEA (003)",65302,6260,62,22582,27336,1946,2668,1302,3146
"Hombres (004)",48169,3795,33,17217,21307,1310,1542,969,1996
"Mujeres (005)",17133,2465,29,5365,6029,636,1126,333,1150
"Ocupada (006)",63455,6184,60,22211,26307,1844,2559,1253,3037
"Hombres (007)",46938,3750,32,16958,20573,1254,1497,935,1939
"Mujeres (008)",16517,2434,28,5253,5734,590,1062,318,1098
"Desocupada (009)",1847,76,2,371,1029,102,109,49,109
"Hombres (010)",1231,45,1,259,734,56,45,34,57
"Mujeres (011)",616,31,1,112,295,46,64,15,52
"No PEA (012)",79092,9039,974,41049,24684,1151,658,1010,527
"Hombres (013)",28570,1396,464,16157,9403,378,174,383,215
"Mujeres (014)",50522,7643,510,24892,15281,773,484,627,312
,,,,,,,,,
"URBANA (018)",44254,2167,290,14485,19052,1797,2082,1673,2708
"Hombres (019)",22210,547,152,6957,10099,925,1001,903,1626
"Mujeres (020)",22044,1620,138,7528,8953,872,1081,770,1082
"PEA (021)",20770,909,10,4359,9504,1125,1662,879,2322
"Hombres (022)",12873,322,6,2605,6271,700,891,610,1468
"Mujeres (023)",7897,587,4,1754,3233,425,771,269,854
"Ocupada (024)",19578,874,8,4187,8828,1049,1577,836,2219
"Hombres (025)",12127,304,5,2502,5808,658,855,580,1415
"Mujeres (026)",7451,570,3,1685,3020,391,722,256,804
"Desocupada (027)",1192,35,2,172,676,76,85,43,103
"Hombres (028)",746,18,1,103,463,42,36,30,53
"Mujeres (029)",446,17,1,69,213,34,49,13,50
"No PEA (030)",23484,1258,280,10126,9548,672,420,794,386
"Hombres (031)",9337,225,146,4352,3828,225,110,293,158
"Mujeres (032)",14147,1033,134,5774,5720,447,310,501,228
,,,,,,,,,
"RURAL (036)",100140,13132,746,49146,32968,1300,1244,639,965
"Hombres (037)",54529,4644,345,26417,20611,763,715,449,585
"Mujeres (038)",45611,8488,401,22729,12357,537,529,190,380
"PEA (039)",44532,5351,52,18223,17832,821,1006,423,824
"Hombres (040)",35296,3473,27,14612,15036,610,651,359,528
"Mujeres (041)",9236,1878,25,3611,2796,211,355,64,296
"Ocupada (042)",43877,5310,52,18024,17479,795,982,417,818
"Hombres (043)",34811,3446,27,14456,14765,596,642,355,524
"Mujeres (044)",9066,1864,25,3568,2714,199,340,62,294
"Desocupada (045)",655,41,,199,353,26,24,6,6
"Hombres (046)",485,27,,156,271,14,9,4,4
"Mujeres (047)",170,14,,43,82,12,15,2,2
"No PEA (048)",55608,7781,694,30923,15136,479,238,216,141
"Hombres (049)",19233,1171,318,11805,5575,153,64,90,57
"Mujeres (050)",36375,6610,376,19118,9561,326,174,126,84
