"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA UNION (000)",15442,282,5362,2757,2939,2517,1585
"Casa independiente (001)",14547,260,5048,2588,2711,2399,1541
"Vivienda en quinta (003)",99,2,21,23,36,14,3
"Vivienda en casa de vecindad (004)",177,6,53,26,70,17,5
"Choza o cabaña (005)",577,14,233,110,107,78,35
"Vivienda improvisada (006)",5,,1,,2,2,
"Local no destinado para hab.humana (007)",35,,6,10,11,7,1
"Otro tipo (008)",2,,,,2,,
,,,,,,,
"URBANA (009)",7362,129,2486,1424,1469,1155,699
"Casa independiente (010)",7064,121,2411,1365,1356,1121,690
"Vivienda en quinta (012)",99,2,21,23,36,14,3
"Vivienda en casa de vecindad (013)",177,6,53,26,70,17,5
"Vivienda improvisada (015)",5,,1,,2,2,
"Local no destinado para hab.humana (016)",16,,,10,4,1,1
"Otro tipo (017)",1,,,,1,,
,,,,,,,
"RURAL (018)",8080,153,2876,1333,1470,1362,886
"Casa independiente (019)",7483,139,2637,1223,1355,1278,851
"Choza o cabaña (023)",577,14,233,110,107,78,35
"Local no destinado para hab.humana (025)",19,,6,,7,6,
"Otro tipo (026)",1,,,,1,,
