"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHEPEN (000)",58529,8417,10491,11334,10142,7398,10747
"Católica (001)",40276,5834,7228,7695,7124,5104,7291
"Cristiana/Evangélica (002)",13572,1812,2203,2594,2244,1818,2901
"Otra (003)",1926,281,320,380,323,257,365
"Ninguna (004)",2755,490,740,665,451,219,190
"Hombres (006)",29073,4305,5326,5507,4821,3667,5447
"Católica (007)",20649,3038,3724,3847,3479,2682,3879
"Cristiana/Evangélica (008)",5935,856,1029,1120,911,741,1278
"Otra (009)",899,147,158,156,152,108,178
"Ninguna (010)",1590,264,415,384,279,136,112
"Mujeres (012)",29456,4112,5165,5827,5321,3731,5300
"Católica (013)",19627,2796,3504,3848,3645,2422,3412
"Cristiana/Evangélica (014)",7637,956,1174,1474,1333,1077,1623
"Otra (015)",1027,134,162,224,171,149,187
"Ninguna (016)",1165,226,325,281,172,83,78
,,,,,,,
"URBANA (018)",48254,6874,8483,9249,8501,6177,8970
"Católica (019)",33543,4801,5892,6307,6028,4333,6182
"Cristiana/Evangélica (020)",11006,1471,1777,2118,1836,1473,2331
"Otra (021)",1509,211,244,292,264,195,303
"Ninguna (022)",2196,391,570,532,373,176,154
"Hombres (024)",23615,3475,4255,4409,3983,3016,4477
"Católica (025)",16896,2464,2995,3086,2893,2241,3217
"Cristiana/Evangélica (026)",4780,696,835,900,740,584,1025
"Otra (027)",689,102,116,121,121,82,147
"Ninguna (028)",1250,213,309,302,229,109,88
"Mujeres (030)",24639,3399,4228,4840,4518,3161,4493
"Católica (031)",16647,2337,2897,3221,3135,2092,2965
"Cristiana/Evangélica (032)",6226,775,942,1218,1096,889,1306
"Otra (033)",820,109,128,171,143,113,156
"Ninguna (034)",946,178,261,230,144,67,66
,,,,,,,
"RURAL (036)",10275,1543,2008,2085,1641,1221,1777
"Católica (037)",6733,1033,1336,1388,1096,771,1109
"Cristiana/Evangélica (038)",2566,341,426,476,408,345,570
"Otra (039)",417,70,76,88,59,62,62
"Ninguna (040)",559,99,170,133,78,43,36
"Hombres (042)",5458,830,1071,1098,838,651,970
"Católica (043)",3753,574,729,761,586,441,662
"Cristiana/Evangélica (044)",1155,160,194,220,171,157,253
"Otra (045)",210,45,42,35,31,26,31
"Ninguna (046)",340,51,106,82,50,27,24
"Mujeres (048)",4817,713,937,987,803,570,807
"Católica (049)",2980,459,607,627,510,330,447
"Cristiana/Evangélica (050)",1411,181,232,256,237,188,317
"Otra (051)",207,25,34,53,28,36,31
"Ninguna (052)",219,48,64,51,28,16,12
