"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia OXAPAMPA (000)",40316,32153,8163
"De 3 a 5 años (001)",6111,331,5780
"De 6 a 11 años (002)",12077,10331,1746
"De 12 a 16 años (003)",10152,9960,192
"De 17 a 24 años (004)",11976,11531,445
"Hombres (005)",20949,16841,4108
"De 3 a 5 años (006)",3083,147,2936
"De 6 a 11 años (007)",6256,5355,901
"De 12 a 16 años (008)",5199,5096,103
"De 17 a 24 años (009)",6411,6243,168
"Mujeres (010)",19367,15312,4055
"De 3 a 5 años (011)",3028,184,2844
"De 6 a 11 años (012)",5821,4976,845
"De 12 a 16 años (013)",4953,4864,89
"De 17 a 24 años (014)",5565,5288,277
,,,
"URBANA (015)",14300,12404,1896
"De 3 a 5 años (016)",1755,170,1585
"De 6 a 11 años (017)",3969,3732,237
"De 12 a 16 años (018)",3893,3871,22
"De 17 a 24 años (019)",4683,4631,52
"Hombres (020)",7293,6350,943
"De 3 a 5 años (021)",849,71,778
"De 6 a 11 años (022)",2049,1924,125
"De 12 a 16 años (023)",1882,1871,11
"De 17 a 24 años (024)",2513,2484,29
"Mujeres (025)",7007,6054,953
"De 3 a 5 años (026)",906,99,807
"De 6 a 11 años (027)",1920,1808,112
"De 12 a 16 años (028)",2011,2000,11
"De 17 a 24 años (029)",2170,2147,23
,,,
"RURAL (030)",26016,19749,6267
"De 3 a 5 años (031)",4356,161,4195
"De 6 a 11 años (032)",8108,6599,1509
"De 12 a 16 años (033)",6259,6089,170
"De 17 a 24 años (034)",7293,6900,393
"Hombres (035)",13656,10491,3165
"De 3 a 5 años (036)",2234,76,2158
"De 6 a 11 años (037)",4207,3431,776
"De 12 a 16 años (038)",3317,3225,92
"De 17 a 24 años (039)",3898,3759,139
"Mujeres (040)",12360,9258,3102
"De 3 a 5 años (041)",2122,85,2037
"De 6 a 11 años (042)",3901,3168,733
"De 12 a 16 años (043)",2942,2864,78
"De 17 a 24 años (044)",3395,3141,254
