"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PALPA (000)",5251,660,1309,1412,1870
"Asiste actualmente (001)",3857,476,1277,1333,771
"No asiste (002)",1394,184,32,79,1099
"Hombres (004)",2700,346,669,734,951
"Asiste actualmente (005)",1935,234,647,692,362
"No asiste (006)",765,112,22,42,589
"Mujeres (008)",2551,314,640,678,919
"Asiste actualmente (009)",1922,242,630,641,409
"No asiste (010)",629,72,10,37,510
,,,,,
"URBANA (012)",3527,447,877,976,1227
"Asiste actualmente (013)",2663,332,854,922,555
"No asiste (014)",864,115,23,54,672
"Hombres (016)",1791,231,452,507,601
"Asiste actualmente (017)",1323,157,438,475,253
"No asiste (018)",468,74,14,32,348
"Mujeres (020)",1736,216,425,469,626
"Asiste actualmente (021)",1340,175,416,447,302
"No asiste (022)",396,41,9,22,324
,,,,,
"RURAL (024)",1724,213,432,436,643
"Asiste actualmente (025)",1194,144,423,411,216
"No asiste (026)",530,69,9,25,427
"Hombres (028)",909,115,217,227,350
"Asiste actualmente (029)",612,77,209,217,109
"No asiste (030)",297,38,8,10,241
"Mujeres (032)",815,98,215,209,293
"Asiste actualmente (033)",582,67,214,194,107
"No asiste (034)",233,31,1,15,186
