"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CASTROVIRREYNA (000)",8370,6785,1585
"De 3 a 5 años (001)",1353,106,1247
"De 6 a 11 años (002)",2740,2475,265
"De 12 a 16 años (003)",2115,2091,24
"De 17 a 24 años (004)",2162,2113,49
"Hombres (005)",4337,3525,812
"De 3 a 5 años (006)",689,55,634
"De 6 a 11 años (007)",1376,1229,147
"De 12 a 16 años (008)",1061,1053,8
"De 17 a 24 años (009)",1211,1188,23
"Mujeres (010)",4033,3260,773
"De 3 a 5 años (011)",664,51,613
"De 6 a 11 años (012)",1364,1246,118
"De 12 a 16 años (013)",1054,1038,16
"De 17 a 24 años (014)",951,925,26
,,,
"URBANA (015)",2431,2069,362
"De 3 a 5 años (016)",331,32,299
"De 6 a 11 años (017)",699,650,49
"De 12 a 16 años (018)",641,632,9
"De 17 a 24 años (019)",760,755,5
"Hombres (020)",1270,1085,185
"De 3 a 5 años (021)",168,17,151
"De 6 a 11 años (022)",350,320,30
"De 12 a 16 años (023)",305,304,1
"De 17 a 24 años (024)",447,444,3
"Mujeres (025)",1161,984,177
"De 3 a 5 años (026)",163,15,148
"De 6 a 11 años (027)",349,330,19
"De 12 a 16 años (028)",336,328,8
"De 17 a 24 años (029)",313,311,2
,,,
"RURAL (030)",5939,4716,1223
"De 3 a 5 años (031)",1022,74,948
"De 6 a 11 años (032)",2041,1825,216
"De 12 a 16 años (033)",1474,1459,15
"De 17 a 24 años (034)",1402,1358,44
"Hombres (035)",3067,2440,627
"De 3 a 5 años (036)",521,38,483
"De 6 a 11 años (037)",1026,909,117
"De 12 a 16 años (038)",756,749,7
"De 17 a 24 años (039)",764,744,20
"Mujeres (040)",2872,2276,596
"De 3 a 5 años (041)",501,36,465
"De 6 a 11 años (042)",1015,916,99
"De 12 a 16 años (043)",718,710,8
"De 17 a 24 años (044)",638,614,24
