"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TAHUAMANU (000)",10742,198,2713,3131,2752,1548,400
"Hombres (001)",6448,103,1364,1821,1820,1082,258
"Mujeres (002)",4294,95,1349,1310,932,466,142
"Viviendas particulares (003)",9086,190,2681,2560,2051,1224,380
"Hombres (004)",4974,98,1350,1335,1171,779,241
"Mujeres (005)",4112,92,1331,1225,880,445,139
"Viviendas colectivas (006)",1559,6,26,533,670,309,15
"Hombres (007)",1402,4,13,458,621,293,13
"Mujeres (008)",157,2,13,75,49,16,2
"Otro tipo (009)",97,2,6,38,31,15,5
"Hombres (010)",72,1,1,28,28,10,4
"Mujeres (011)",25,1,5,10,3,5,1
,,,,,,,
"URBANA (012)",7604,142,1934,2326,1973,997,232
"Hombres (013)",4440,73,945,1322,1273,688,139
"Mujeres (014)",3164,69,989,1004,700,309,93
"Viviendas particulares (015)",6423,136,1912,1902,1475,783,215
"Hombres (016)",3391,70,935,964,811,487,124
"Mujeres (017)",3032,66,977,938,664,296,91
"Viviendas colectivas (018)",1084,4,16,386,467,199,12
"Hombres (019)",977,2,9,330,434,191,11
"Mujeres (020)",107,2,7,56,33,8,1
"Otro tipo (021)",97,2,6,38,31,15,5
"Hombres (022)",72,1,1,28,28,10,4
"Mujeres (023)",25,1,5,10,3,5,1
,,,,,,,
"RURAL (024)",3138,56,779,805,779,551,168
"Hombres (025)",2008,30,419,499,547,394,119
"Mujeres (026)",1130,26,360,306,232,157,49
"Viviendas particulares (027)",2663,54,769,658,576,441,165
"Hombres (028)",1583,28,415,371,360,292,117
"Mujeres (029)",1080,26,354,287,216,149,48
"Viviendas colectivas (030)",475,2,10,147,203,110,3
"Hombres (031)",425,2,4,128,187,102,2
"Mujeres (032)",50,,6,19,16,8,1
