"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA",,,,,,,,,
"Hogares (001)",6888,238,74,49,39,15,10,11,6452
"Ocupantes presentes (002)",26354,784,219,169,146,58,39,58,24881
"Casa independiente",,,,,,,,,
"Hogares (004)",6826,238,73,48,39,14,10,11,6393
"Ocupantes presentes (005)",26147,784,213,166,146,53,39,58,24688
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",22,,,1,,1,,,20
"Ocupantes presentes (011)",69,,,3,,5,,,61
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",3,,,,,,,,3
"Ocupantes presentes (014)",16,,,,,,,,16
"Choza o cabaña",,,,,,,,,
"Hogares (016)",30,,,,,,,,30
"Ocupantes presentes (017)",94,,,,,,,,94
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,1,,,,,,1
"Ocupantes presentes (020)",7,,6,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",3,,,,,,,,3
"Ocupantes presentes (023)",13,,,,,,,,13
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2341,140,39,22,20,7,4,6,2103
"Ocupantes presentes (029)",8560,495,128,82,86,31,14,20,7704
"Casa independiente",,,,,,,,,
"Hogares (031)",2311,140,38,21,20,6,4,6,2076
"Ocupantes presentes (032)",8460,495,122,79,86,26,14,20,7618
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",22,,,1,,1,,,20
"Ocupantes presentes (038)",69,,,3,,5,,,61
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",3,,,,,,,,3
"Ocupantes presentes (041)",16,,,,,,,,16
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,1,,,,,,1
"Ocupantes presentes (047)",7,,6,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",2,,,,,,,,2
"Ocupantes presentes (050)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",4,,,,,,,,4
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4547,98,35,27,19,8,6,5,4349
"Ocupantes presentes (056)",17794,289,91,87,60,27,25,38,17177
"Casa independiente",,,,,,,,,
"Hogares (058)",4515,98,35,27,19,8,6,5,4317
"Ocupantes presentes (059)",17687,289,91,87,60,27,25,38,17070
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",30,,,,,,,,30
"Ocupantes presentes (071)",94,,,,,,,,94
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",9,,,,,,,,9
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",4,,,,,,,,4
