"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SECHURA (000)",15117,120,5401,5601,1697,514,214,53,5,,1512
"Conviviente (001)",5271,53,2163,1852,526,147,57,7,1,,465
"Separado(a) (002)",884,14,335,292,121,43,15,6,1,,57
"Casado(a) (003)",7064,40,2457,2948,895,262,119,26,2,,315
"Viudo(a) (004)",836,9,293,335,85,35,12,10,,,57
"Divorciado(a) (005)",25,,10,7,,3,1,,,,4
"Soltero(a) (006)",1037,4,143,167,70,24,10,4,1,,614
,,,,,,,,,,,
"URBANA (008)",14239,109,5017,5342,1622,490,205,53,5,,1396
"Conviviente (009)",4916,47,1988,1766,495,137,53,7,1,,422
"Separado(a) (010)",820,12,309,270,113,42,15,6,1,,52
"Casado(a) (011)",6718,37,2308,2817,863,250,114,26,2,,301
"Viudo(a) (012)",793,9,268,324,83,35,12,10,,,52
"Divorciado(a) (013)",23,,9,6,,3,1,,,,4
"Soltero(a) (014)",969,4,135,159,68,23,10,4,1,,565
,,,,,,,,,,,
"RURAL (016)",878,11,384,259,75,24,9,,,,116
"Conviviente (017)",355,6,175,86,31,10,4,,,,43
"Separado(a) (018)",64,2,26,22,8,1,,,,,5
"Casado(a) (019)",346,3,149,131,32,12,5,,,,14
"Viudo(a) (020)",43,,25,11,2,,,,,,5
"Divorciado(a) (021)",2,,1,1,,,,,,,
"Soltero(a) (022)",68,,8,8,2,1,,,,,49
