"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LUYA (000)",16418,16060,4336,1959,1892,1568,2477,1765,2063,358
"Católica (001)",13551,13250,3556,1637,1560,1299,2050,1464,1684,301
"Cristiana/Evangélica (002)",2010,1972,558,206,210,185,301,219,293,38
"Otra (003)",662,644,157,85,91,65,100,73,73,18
"Ninguna (004)",195,194,65,31,31,19,26,9,13,1
,,,,,,,,,,
"URBANA (006)",7265,7081,1924,927,962,741,1159,704,664,184
"Católica (007)",6036,5885,1606,784,811,627,950,587,520,151
"Cristiana/Evangélica (008)",902,878,226,95,107,82,154,93,121,24
"Otra (009)",242,234,56,33,34,27,45,20,19,8
"Ninguna (010)",85,84,36,15,10,5,10,4,4,1
,,,,,,,,,,
"RURAL (012)",9153,8979,2412,1032,930,827,1318,1061,1399,174
"Católica (013)",7515,7365,1950,853,749,672,1100,877,1164,150
"Cristiana/Evangélica (014)",1108,1094,332,111,103,103,147,126,172,14
"Otra (015)",420,410,101,52,57,38,55,53,54,10
"Ninguna (016)",110,110,29,16,21,14,16,5,9,
