"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia ACOBAMBA",,,,,,,,
"Viviendas particulares (001)",14895,13972,652,22,16,189,39,5
"Ocupantes presentes (002)",63458,59875,2603,72,54,665,166,23
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",14493,13774,559,14,13,89,39,5
"Ocupantes presentes (005)",61918,59075,2260,51,44,299,166,23
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",171,,71,2,2,96,,
"Ocupantes presentes (011)",628,,258,12,5,353,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",47,21,16,6,1,3,,
"Ocupantes presentes (014)",163,76,61,9,5,12,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",171,169,1,,,1,,
"Ocupantes presentes (017)",706,700,5,,,1,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",5,1,4,,,,,
"Ocupantes presentes (020)",19,1,18,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",6,5,1,,,,,
"Ocupantes presentes (023)",20,19,1,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,
"Ocupantes presentes (026)",4,4,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",4686,3952,517,19,15,174,6,3
"Ocupantes presentes (029)",19014,16255,1988,59,48,629,26,9
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",4461,3929,425,11,12,75,6,3
"Ocupantes presentes (032)",18202,16177,1650,38,38,264,26,9
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",171,,71,2,2,96,,
"Ocupantes presentes (038)",628,,258,12,5,353,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",47,21,16,6,1,3,,
"Ocupantes presentes (041)",163,76,61,9,5,12,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",5,1,4,,,,,
"Ocupantes presentes (047)",19,1,18,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,1,1,,,,,
"Ocupantes presentes (050)",2,1,1,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",10209,10020,135,3,1,15,33,2
"Ocupantes presentes (056)",44444,43620,615,13,6,36,140,14
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",10032,9845,134,3,1,14,33,2
"Ocupantes presentes (059)",43716,42898,610,13,6,35,140,14
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",171,169,1,,,1,,
"Ocupantes presentes (071)",706,700,5,,,1,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",4,4,,,,,,
"Ocupantes presentes (077)",18,18,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,
"Ocupantes presentes (080)",4,4,,,,,,
