"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",45384,1903,10617,9903,6892,5630,4069,2907,3463
"Quechua (001)",4031,43,97,130,230,526,691,838,1476
"Aymara (002)",31,2,5,2,3,7,4,5,3
"Ashaninca (003)",7,1,1,1,,3,,1,
"Otra lengua nativa (004)",10,,4,1,1,,1,2,1
"Castellano (005)",41254,1856,10504,9763,6650,5085,3372,2056,1968
"Idioma extranjero (006)",1,,,,,,,,1
"Es sordomudo/a (007)",50,1,6,6,8,9,1,5,14
"Hombres (009)",22774,1013,5507,4925,3394,2807,1986,1441,1701
"Quechua (010)",1717,18,46,56,113,224,307,355,598
"Aymara (011)",12,,3,1,1,3,1,1,2
"Ashaninca (012)",5,1,,1,,2,,1,
"Otra lengua nativa (013)",2,,1,,1,,,,
"Castellano (014)",21012,993,5453,4863,3274,2576,1677,1082,1094
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",25,1,4,4,5,2,1,2,6
"Mujeres (018)",22610,890,5110,4978,3498,2823,2083,1466,1762
"Quechua (019)",2314,25,51,74,117,302,384,483,878
"Aymara (020)",19,2,2,1,2,4,3,4,1
"Ashaninca (021)",2,,1,,,1,,,
"Otra lengua nativa (022)",8,,3,1,,,1,2,1
"Castellano (023)",20242,863,5051,4900,3376,2509,1695,974,874
"Es sordomudo/a (025)",25,,2,2,3,7,,3,8
,,,,,,,,,
"URBANA (027)",26708,998,5782,5892,4086,3410,2494,1812,2234
"Quechua (028)",2775,9,29,84,136,389,522,584,1022
"Aymara (029)",20,1,4,2,3,2,2,4,2
"Ashaninca (030)",1,,,,,1,,,
"Otra lengua nativa (031)",5,,2,,,,1,1,1
"Castellano (032)",23865,987,5744,5802,3939,3011,1968,1219,1195
"Idioma extranjero (033)",1,,,,,,,,1
"Es sordomudo/a (034)",41,1,3,4,8,7,1,4,13
"Hombres (036)",13253,536,2939,2928,2022,1677,1206,853,1092
"Quechua (037)",1159,3,16,37,68,165,231,239,400
"Aymara (038)",8,,3,1,1,1,,1,1
"Castellano (041)",12065,532,2918,2887,1948,1510,974,611,685
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",20,1,2,3,5,1,1,2,5
"Mujeres (045)",13455,462,2843,2964,2064,1733,1288,959,1142
"Quechua (046)",1616,6,13,47,68,224,291,345,622
"Aymara (047)",12,1,1,1,2,1,2,3,1
"Ashaninca (048)",1,,,,,1,,,
"Otra lengua nativa (049)",5,,2,,,,1,1,1
"Castellano (050)",11800,455,2826,2915,1991,1501,994,608,510
"Es sordomudo/a (052)",21,,1,1,3,6,,2,8
,,,,,,,,,
"RURAL (054)",18676,905,4835,4011,2806,2220,1575,1095,1229
"Quechua (055)",1256,34,68,46,94,137,169,254,454
"Aymara (056)",11,1,1,,,5,2,1,1
"Ashaninca (057)",6,1,1,1,,2,,1,
"Otra lengua nativa (058)",5,,2,1,1,,,1,
"Castellano (059)",17389,869,4760,3961,2711,2074,1404,837,773
"Es sordomudo/a (061)",9,,3,2,,2,,1,1
"Hombres (063)",9521,477,2568,1997,1372,1130,780,588,609
"Quechua (064)",558,15,30,19,45,59,76,116,198
"Aymara (065)",4,,,,,2,1,,1
"Ashaninca (066)",5,1,,1,,2,,1,
"Otra lengua nativa (067)",2,,1,,1,,,,
"Castellano (068)",8947,461,2535,1976,1326,1066,703,471,409
"Es sordomudo/a (070)",5,,2,1,,1,,,1
"Mujeres (072)",9155,428,2267,2014,1434,1090,795,507,620
"Quechua (073)",698,19,38,27,49,78,93,138,256
"Aymara (074)",7,1,1,,,3,1,1,
"Ashaninca (075)",1,,1,,,,,,
"Otra lengua nativa (076)",3,,1,1,,,,1,
"Castellano (077)",8442,408,2225,1985,1385,1008,701,366,364
"Es sordomudo/a (079)",4,,1,1,,1,,1,
