"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CUSCO (000)",349453,34433,78946,20770,217047
"Quechua (001)",63675,7502,11667,3136,41624
"Aymara (002)",781,46,171,56,522
"Asháninka (003)",94,8,11,11,67
"Otra lengua nativa (004)",306,15,57,21,213
"Castellano (005)",282610,26779,66945,16618,173736
"Idioma Extranjero (006)",1521,5,16,899,602
"Es Sordomudo/a (007)",466,78,79,29,283
"Hombres (009)",168149,15793,36905,11610,104780
"Quechua (010)",30325,3127,5766,1954,19637
"Aymara (011)",596,28,131,46,396
"Asháninka (012)",59,5,8,9,40
"Otra lengua nativa (013)",154,3,29,20,102
"Castellano (014)",136093,12597,30923,9132,84210
"Idioma Extranjero (015)",730,2,7,432,289
"Es Sordomudo/a (016)",192,31,41,17,106
"Mujeres (018)",181304,18640,42041,9160,112267
"Quechua (019)",33350,4375,5901,1182,21987
"Aymara (020)",185,18,40,10,126
"Asháninka (021)",35,3,3,2,27
"Otra lengua nativa (022)",152,12,28,1,111
"Castellano (023)",146517,14182,36022,7486,89526
"Idioma Extranjero (024)",791,3,9,467,313
"Es Sordomudo/a (025)",274,47,38,12,177
,,,,,
"URBANA (027)",334457,27930,78227,20456,209577
"Quechua (028)",54633,3190,11282,2942,37466
"Aymara (029)",774,41,171,56,520
"Asháninka (030)",87,8,11,11,60
"Otra lengua nativa (031)",305,15,57,21,212
"Castellano (032)",276682,24598,66611,16499,170439
"Idioma Extranjero (033)",1521,5,16,899,602
"Es Sordomudo/a (034)",455,73,79,28,278
"Hombres (036)",160606,12733,36503,11412,100891
"Quechua (037)",25920,1249,5539,1831,17455
"Aymara (038)",595,27,131,46,396
"Asháninka (039)",53,5,8,9,34
"Otra lengua nativa (040)",153,3,29,20,101
"Castellano (041)",132971,11419,30748,9058,82514
"Idioma Extranjero (042)",730,2,7,432,289
"Es Sordomudo/a (043)",184,28,41,16,102
"Mujeres (045)",173851,15197,41724,9044,108686
"Quechua (046)",28713,1941,5743,1111,20011
"Aymara (047)",179,14,40,10,124
"Asháninka (048)",34,3,3,2,26
"Otra lengua nativa (049)",152,12,28,1,111
"Castellano (050)",143711,13179,35863,7441,87925
"Idioma Extranjero (051)",791,3,9,467,313
"Es Sordomudo/a (052)",271,45,38,12,176
,,,,,
"RURAL (054)",14996,6503,719,314,7470
"Quechua (055)",9042,4312,385,194,4158
"Aymara (056)",7,5,,,2
"Asháninka (057)",7,,,,7
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",5928,2181,334,119,3297
"Es Sordomudo/a (061)",11,5,,1,5
"Hombres (063)",7543,3060,402,198,3889
"Quechua (064)",4405,1878,227,123,2182
"Aymara (065)",1,1,,,
"Asháninka (066)",6,,,,6
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",3122,1178,175,74,1696
"Es Sordomudo/a (070)",8,3,,1,4
"Mujeres (072)",7453,3443,317,116,3581
"Quechua (073)",4637,2434,158,71,1976
"Aymara (074)",6,4,,,2
"Asháninka (075)",1,,,,1
"Castellano (077)",2806,1003,159,45,1601
"Es Sordomudo/a (079)",3,2,,,1
