"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARABAYA (000)",24576,21197,1457,943,979
"Agric., ganadería, caza y silvicultura (001)",16682,16303,339,35,5
"Pesca (002)",16,16,,,
"Explotación de minas y canteras (003)",1558,1016,343,132,67
"Industrias manufactureras (004)",288,220,38,20,10
"Suministro de electricidad, gas y agua (005)",45,2,1,36,6
"Construcción (006)",1105,486,207,281,131
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1657,1592,47,10,8
"Venta, mant.y rep. veh.autom y motoc. (008)",72,47,11,6,8
"Comercio al por mayor (009)",67,62,5,,
"Comercio al por menor (010)",1518,1483,31,4,
"Hoteles y restaurantes (011)",357,310,16,22,9
"Trans., almac. y comunicaciones (012)",446,307,49,52,38
"Intermediación financiera (013)",5,3,,1,1
"Activid.inmobil., empres. y alquileres (014)",175,69,34,42,30
"Admin.pub. y defensa; p. segur soc.afil (015)",474,,,,474
"Enseñanza (016)",850,242,309,267,32
"Servicios sociales y de salud (017)",192,35,3,1,153
"Otras activ. serv.comun.soc y personales (018)",138,96,19,17,6
"Hogares privados con servicio doméstico (019)",149,149,,,
"Actividad economica no especificada (021)",439,351,52,27,9
"Hombres (022)",15403,12689,1146,798,770
"Agric., ganadería, caza y silvicultura (023)",9958,9702,220,32,4
"Pesca (024)",13,13,,,
"Explotación de minas y canteras (025)",1500,977,333,128,62
"Industrias manufactureras (026)",202,146,32,16,8
"Suministro de electricidad, gas y agua (027)",41,1,1,33,6
"Construcción (028)",1051,474,200,255,122
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",665,622,26,9,8
"Venta, mant.y rep. veh.autom y motoc. (030)",63,40,9,6,8
"Comercio al por mayor (031)",27,23,4,,
"Comercio al por menor (032)",575,559,13,3,
"Hoteles y restaurantes (033)",99,74,6,14,5
"Trans., almac. y comunicaciones (034)",421,286,49,51,35
"Intermediación financiera (035)",5,3,,1,1
"Activid.inmobil., empres. y alquileres (036)",145,52,27,36,30
"Admin.pub. y defensa; p. segur soc.afil (037)",383,,,,383
"Enseñanza (038)",515,115,193,184,23
"Servicios sociales y de salud (039)",96,20,3,1,72
"Otras activ. serv.comun.soc y personales (040)",69,36,13,15,5
"Hogares privados con servicio doméstico (041)",29,29,,,
"Actividad economica no especificada (043)",211,139,43,23,6
