"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",100253,21723,29435,22126,17838,9131
"Hombres (001)",49091,10987,14491,10578,8646,4389
"Mujeres (002)",51162,10736,14944,11548,9192,4742
"PEA (003)",44661,698,13932,15087,11436,3508
"Hombres (004)",29889,464,9378,9819,7689,2539
"Mujeres (005)",14772,234,4554,5268,3747,969
"Ocupada (006)",42825,661,12950,14602,11156,3456
"Hombres (007)",28699,445,8786,9506,7468,2494
"Mujeres (008)",14126,216,4164,5096,3688,962
"Desocupada (009)",1836,37,982,485,280,52
"Hombres (010)",1190,19,592,313,221,45
"Mujeres (011)",646,18,390,172,59,7
"No PEA (012)",55592,21025,15503,7039,6402,5623
"Hombres (013)",19202,10523,5113,759,957,1850
"Mujeres (014)",36390,10502,10390,6280,5445,3773
,,,,,,
"URBANA (018)",65098,13591,19071,14958,11655,5823
"Hombres (019)",31486,6909,9212,7005,5571,2789
"Mujeres (020)",33612,6682,9859,7953,6084,3034
"PEA (021)",29297,405,8783,10525,7538,2046
"Hombres (022)",18361,266,5513,6389,4784,1409
"Mujeres (023)",10936,139,3270,4136,2754,637
"Ocupada (024)",27818,384,8007,10112,7307,2008
"Hombres (025)",17407,257,5047,6130,4598,1375
"Mujeres (026)",10411,127,2960,3982,2709,633
"Desocupada (027)",1479,21,776,413,231,38
"Hombres (028)",954,9,466,259,186,34
"Mujeres (029)",525,12,310,154,45,4
"No PEA (030)",35801,13186,10288,4433,4117,3777
"Hombres (031)",13125,6643,3699,616,787,1380
"Mujeres (032)",22676,6543,6589,3817,3330,2397
,,,,,,
"RURAL (036)",35155,8132,10364,7168,6183,3308
"Hombres (037)",17605,4078,5279,3573,3075,1600
"Mujeres (038)",17550,4054,5085,3595,3108,1708
"PEA (039)",15364,293,5149,4562,3898,1462
"Hombres (040)",11528,198,3865,3430,2905,1130
"Mujeres (041)",3836,95,1284,1132,993,332
"Ocupada (042)",15007,277,4943,4490,3849,1448
"Hombres (043)",11292,188,3739,3376,2870,1119
"Mujeres (044)",3715,89,1204,1114,979,329
"Desocupada (045)",357,16,206,72,49,14
"Hombres (046)",236,10,126,54,35,11
"Mujeres (047)",121,6,80,18,14,3
"No PEA (048)",19791,7839,5215,2606,2285,1846
"Hombres (049)",6077,3880,1414,143,170,470
"Mujeres (050)",13714,3959,3801,2463,2115,1376
