"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VILCAS HUAMAN (000)",17102,5436,1208,182,10285
"Conviviente (001)",3036,781,164,31,2061
"Separado(a) (002)",464,112,30,4,318
"Casado(a) (003)",6896,1642,661,73,4524
"Viudo(a) (004)",1493,334,35,12,1112
"Divorciado(a) (005)",66,11,7,1,47
"Soltero(a) (006)",5147,2556,311,61,2223
"Hombres (008)",8223,2404,652,104,5068
"Conviviente (009)",1507,292,99,16,1100
"Separado(a) (010)",121,13,17,3,88
"Casado(a) (011)",3413,696,359,48,2313
"Viudo(a) (012)",313,54,17,4,238
"Divorciado(a) (013)",29,6,6,,17
"Soltero(a) (014)",2840,1343,154,33,1312
"Mujeres (016)",8879,3032,556,78,5217
"Conviviente (017)",1529,489,65,15,961
"Separado(a) (018)",343,99,13,1,230
"Casado(a) (019)",3483,946,302,25,2211
"Viudo(a) (020)",1180,280,18,8,874
"Divorciado(a) (021)",37,5,1,1,30
"Soltero(a) (022)",2307,1213,157,28,911
,,,,,
"URBANA (024)",5665,1183,837,125,3520
"Conviviente (025)",1052,191,120,19,722
"Separado(a) (026)",164,28,18,,118
"Casado(a) (027)",2209,300,437,48,1424
"Viudo(a) (028)",419,47,23,7,342
"Divorciado(a) (029)",30,2,5,,23
"Soltero(a) (030)",1791,615,234,51,891
"Hombres (032)",2767,539,453,70,1705
"Conviviente (033)",532,76,73,8,375
"Separado(a) (034)",46,3,9,,34
"Casado(a) (035)",1116,135,240,30,711
"Viudo(a) (036)",89,5,9,3,72
"Divorciado(a) (037)",11,1,5,,5
"Soltero(a) (038)",973,319,117,29,508
"Mujeres (040)",2898,644,384,55,1815
"Conviviente (041)",520,115,47,11,347
"Separado(a) (042)",118,25,9,,84
"Casado(a) (043)",1093,165,197,18,713
"Viudo(a) (044)",330,42,14,4,270
"Divorciado(a) (045)",19,1,,,18
"Soltero(a) (046)",818,296,117,22,383
,,,,,
"RURAL (048)",11437,4253,371,57,6765
"Conviviente (049)",1984,590,44,12,1339
"Separado(a) (050)",300,84,12,4,200
"Casado(a) (051)",4687,1342,224,25,3100
"Viudo(a) (052)",1074,287,12,5,770
"Divorciado(a) (053)",36,9,2,1,24
"Soltero(a) (054)",3356,1941,77,10,1332
"Hombres (056)",5456,1865,199,34,3363
"Conviviente (057)",975,216,26,8,725
"Separado(a) (058)",75,10,8,3,54
"Casado(a) (059)",2297,561,119,18,1602
"Viudo(a) (060)",224,49,8,1,166
"Divorciado(a) (061)",18,5,1,,12
"Soltero(a) (062)",1867,1024,37,4,804
"Mujeres (064)",5981,2388,172,23,3402
"Conviviente (065)",1009,374,18,4,614
"Separado(a) (066)",225,74,4,1,146
"Casado(a) (067)",2390,781,105,7,1498
"Viudo(a) (068)",850,238,4,4,604
"Divorciado(a) (069)",18,4,1,1,12
"Soltero(a) (070)",1489,917,40,6,528
