"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RIOJA (000)",36917,31204,2783,1668,1262
"Empleado (001)",4957,2168,638,1083,1068
"Obrero (002)",5913,4372,897,474,170
"Trabajador independiente (003)",18852,18025,827,,
"Empleador o patrono (004)",1433,1208,155,59,11
"Trabajador familiar no remunerado (005)",4426,4095,266,52,13
"Trabajador del hogar (006)",1336,1336,,,
"De 06 a 14 años (008)",1401,1248,121,29,3
"Empleado (009)",88,77,9,2,
"Obrero (010)",153,114,24,14,1
"Trabajador independiente (011)",283,268,15,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",797,709,73,13,2
"Trabajador del hogar (014)",79,79,,,
"De 15 a 29 años (016)",13599,11683,1095,495,326
"Empleado (017)",1855,1065,269,254,267
"Obrero (018)",2597,1943,403,198,53
"Trabajador independiente (019)",5625,5364,261,,
"Empleador o patrono (020)",370,307,42,19,2
"Trabajador familiar no remunerado (021)",2475,2327,120,24,4
"Trabajador del hogar (022)",677,677,,,
"De 30 a 44 años (024)",12605,10116,1004,853,632
"Empleado (025)",2189,725,274,645,545
"Obrero (026)",1909,1358,300,175,76
"Trabajador independiente (027)",6875,6553,322,,
"Empleador o patrono (028)",559,468,60,24,7
"Trabajador familiar no remunerado (029)",719,658,48,9,4
"Trabajador del hogar (030)",354,354,,,
"De 45 a 64 años (032)",7753,6692,496,278,287
"Empleado (033)",781,276,82,176,247
"Obrero (034)",1073,800,152,84,37
"Trabajador independiente (035)",4942,4745,197,,
"Empleador o patrono (036)",423,364,43,15,1
"Trabajador familiar no remunerado (037)",345,318,22,3,2
"Trabajador del hogar (038)",189,189,,,
"De 65 y más años (040)",1559,1465,67,13,14
"Empleado (041)",44,25,4,6,9
"Obrero (042)",181,157,18,3,3
"Trabajador independiente (043)",1127,1095,32,,
"Empleador o patrono (044)",80,68,10,1,1
"Trabajador familiar no remunerado (045)",90,83,3,3,1
"Trabajador del hogar (046)",37,37,,,
,,,,,
"URBANA (048)",27769,22425,2518,1607,1219
"Empleado (049)",4814,2107,611,1067,1029
"Obrero (050)",4656,3204,830,454,168
"Trabajador independiente (051)",13578,12841,737,,
"Empleador o patrono (052)",956,785,120,41,10
