"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PACASMAYO (000)",94377,1672,25334,23928,19800,16555,7088
"Hombres (001)",46661,873,12703,11803,9512,8204,3566
"Mujeres (002)",47716,799,12631,12125,10288,8351,3522
"Viviendas particulares (003)",93464,1664,25282,23661,19433,16366,7058
"Hombres (004)",45938,871,12677,11596,9199,8050,3545
"Mujeres (005)",47526,793,12605,12065,10234,8316,3513
"Viviendas colectivas (006)",743,7,50,219,297,147,23
"Hombres (007)",585,2,25,170,253,119,16
"Mujeres (008)",158,5,25,49,44,28,7
"Otro tipo (009)",170,1,2,48,70,42,7
"Hombres (010)",138,,1,37,60,35,5
"Mujeres (011)",32,1,1,11,10,7,2
,,,,,,,
"URBANA (012)",87718,1549,23420,22133,18579,15411,6626
"Hombres (013)",43227,804,11734,10879,8895,7601,3314
"Mujeres (014)",44491,745,11686,11254,9684,7810,3312
"Viviendas particulares (015)",86805,1541,23368,21866,18212,15222,6596
"Hombres (016)",42504,802,11708,10672,8582,7447,3293
"Mujeres (017)",44301,739,11660,11194,9630,7775,3303
"Viviendas colectivas (018)",743,7,50,219,297,147,23
"Hombres (019)",585,2,25,170,253,119,16
"Mujeres (020)",158,5,25,49,44,28,7
"Otro tipo (021)",170,1,2,48,70,42,7
"Hombres (022)",138,,1,37,60,35,5
"Mujeres (023)",32,1,1,11,10,7,2
,,,,,,,
"RURAL (024)",6659,123,1914,1795,1221,1144,462
"Hombres (025)",3434,69,969,924,617,603,252
"Mujeres (026)",3225,54,945,871,604,541,210
"Viviendas particulares (027)",6659,123,1914,1795,1221,1144,462
"Hombres (028)",3434,69,969,924,617,603,252
"Mujeres (029)",3225,54,945,871,604,541,210
