"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PARINACOCHAS (000)",287,75,212
"De 14 a 29 años (001)",158,55,103
"De 30 a 44 años (002)",81,18,63
"De 45 a 64 años (003)",38,2,36
"De 65 y más años (004)",10,,10
"Hombres (005)",197,45,152
"De 14 a 29 años (006)",100,31,69
"De 30 a 44 años (007)",59,13,46
"De 45 a 64 años (008)",30,1,29
"De 65 y más años (009)",8,,8
"Mujeres (010)",90,30,60
"De 14 a 29 años (011)",58,24,34
"De 30 a 44 años (012)",22,5,17
"De 45 a 64 años (013)",8,1,7
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",198,45,153
"De 14 a 29 años (016)",112,36,76
"De 30 a 44 años (017)",53,9,44
"De 45 a 64 años (018)",27,,27
"De 65 y más años (019)",6,,6
"Hombres (020)",122,22,100
"De 14 a 29 años (021)",64,17,47
"De 30 a 44 años (022)",34,5,29
"De 45 a 64 años (023)",20,,20
"De 65 y más años (024)",4,,4
"Mujeres (025)",76,23,53
"De 14 a 29 años (026)",48,19,29
"De 30 a 44 años (027)",19,4,15
"De 45 a 64 años (028)",7,,7
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",89,30,59
"De 14 a 29 años (031)",46,19,27
"De 30 a 44 años (032)",28,9,19
"De 45 a 64 años (033)",11,2,9
"De 65 y más años (034)",4,,4
"Hombres (035)",75,23,52
"De 14 a 29 años (036)",36,14,22
"De 30 a 44 años (037)",25,8,17
"De 45 a 64 años (038)",10,1,9
"De 65 y más años (039)",4,,4
"Mujeres (040)",14,7,7
"De 14 a 29 años (041)",10,5,5
"De 30 a 44 años (042)",3,1,2
"De 45 a 64 años (043)",1,1,
