"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAURA (000)",55397,51460,190,12678,12625,9307,9849,4490,1766,555,3937,158576
"De 12 a 14 años (001)",57,28,1,26,1,,,,,,29,28
"De 15 a 19 años (002)",1207,1039,18,928,73,13,7,,,,168,1141
"De 20 a 24 años (003)",5412,4132,24,3009,914,161,21,3,,,1280,5428
"De 25 a 29 años (004)",6731,5692,18,2812,1993,669,191,7,2,,1039,9666
"De 30 a 34 años (005)",6836,6339,24,1957,2393,1309,598,55,1,2,497,13585
"De 35 a 39 años (006)",6505,6230,12,1224,2197,1496,1096,176,25,4,275,16167
"De 40 a 44 años (007)",5838,5677,10,751,1536,1526,1362,401,85,6,161,17660
"De 45 a 49 años (008)",4862,4743,10,498,1007,1098,1374,573,159,24,119,17066
"De 50 y más años (009)",17949,17580,73,1473,2511,3035,5200,3275,1494,519,369,77835
"PEA (010)",22142,20042,63,5585,5425,3767,3464,1206,439,93,2100,55196
"De 12 a 14 años (011)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (012)",265,230,4,200,17,7,2,,,,35,263
"De 20 a 24 años (013)",1880,1233,5,951,225,44,6,2,,,647,1571
"De 25 a 29 años (014)",2864,2212,10,1252,678,210,58,3,1,,652,3508
"De 30 a 34 años (015)",3290,2955,14,1119,1027,534,242,18,1,,335,5919
"De 35 a 39 años (016)",3349,3174,6,763,1177,671,478,72,6,1,175,7690
"De 40 a 44 años (017)",3136,3037,5,491,899,800,639,163,38,2,99,8842
"De 45 a 49 años (018)",2490,2426,2,303,575,577,644,249,69,7,64,8225
"De 50 y más años (019)",4865,4773,17,504,827,924,1395,699,324,83,92,19176
