"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia POMABAMBA (000)",7087,76,2379,2643,828,281,100,46,7,,727
"Catolica (001)",6420,68,2154,2396,748,250,95,40,7,,662
"Cristiana / Evangelica (002)",605,8,208,228,69,27,3,3,,,59
"Otra (003)",29,,7,9,6,1,1,1,,,4
"Ninguna (004)",33,,10,10,5,3,1,2,,,2
,,,,,,,,,,,
"URBANA (006)",1684,21,490,552,233,90,38,22,3,,235
"Catolica (007)",1521,18,434,505,212,85,35,20,3,,209
"Cristiana / Evangelica (008)",136,3,49,40,17,3,2,1,,,21
"Otra (009)",16,,3,5,3,1,,1,,,3
"Ninguna (010)",11,,4,2,1,1,1,,,,2
,,,,,,,,,,,
"RURAL (012)",5403,55,1889,2091,595,191,62,24,4,,492
"Catolica (013)",4899,50,1720,1891,536,165,60,20,4,,453
"Cristiana / Evangelica (014)",469,5,159,188,52,24,1,2,,,38
"Otra (015)",13,,4,4,3,,1,,,,1
"Ninguna (016)",22,,6,8,4,2,,2,,,
