"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LORETO (000)",18412,17948,5219,2144,2079,1656,2492,1809,2549,464
"Católica (001)",12314,11973,3552,1477,1414,1105,1631,1192,1602,341
"Cristiana/Evangélica (002)",4890,4796,1334,507,508,434,704,521,788,94
"Otra (003)",534,526,144,50,51,47,64,56,114,8
"Ninguna (004)",674,653,189,110,106,70,93,40,45,21
,,,,,,,,,,
"URBANA (006)",8285,8007,2473,1029,974,761,1113,738,919,278
"Católica (007)",5579,5373,1695,720,668,503,735,475,577,206
"Cristiana/Evangélica (008)",2315,2253,664,261,257,221,332,230,288,62
"Otra (009)",237,231,60,19,27,23,33,26,43,6
"Ninguna (010)",154,150,54,29,22,14,13,7,11,4
,,,,,,,,,,
"RURAL (012)",10127,9941,2746,1115,1105,895,1379,1071,1630,186
"Católica (013)",6735,6600,1857,757,746,602,896,717,1025,135
"Cristiana/Evangélica (014)",2575,2543,670,246,251,213,372,291,500,32
"Otra (015)",297,295,84,31,24,24,31,30,71,2
"Ninguna (016)",520,503,135,81,84,56,80,33,34,17
