"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia AIJA (000)",3473,551,1134,874,914
"Asiste actualmente (001)",2419,307,1088,762,262
"No asiste (002)",1054,244,46,112,652
"Hombres (004)",1768,283,580,447,458
"Asiste actualmente (005)",1266,155,557,395,159
"No asiste (006)",502,128,23,52,299
"Mujeres (008)",1705,268,554,427,456
"Asiste actualmente (009)",1153,152,531,367,103
"No asiste (010)",552,116,23,60,353
,,,,,
"URBANA (012)",977,151,318,251,257
"Asiste actualmente (013)",736,93,308,238,97
"No asiste (014)",241,58,10,13,160
"Hombres (016)",495,85,157,126,127
"Asiste actualmente (017)",373,55,152,117,49
"No asiste (018)",122,30,5,9,78
"Mujeres (020)",482,66,161,125,130
"Asiste actualmente (021)",363,38,156,121,48
"No asiste (022)",119,28,5,4,82
,,,,,
"RURAL (024)",2496,400,816,623,657
"Asiste actualmente (025)",1683,214,780,524,165
"No asiste (026)",813,186,36,99,492
"Hombres (028)",1273,198,423,321,331
"Asiste actualmente (029)",893,100,405,278,110
"No asiste (030)",380,98,18,43,221
"Mujeres (032)",1223,202,393,302,326
"Asiste actualmente (033)",790,114,375,246,55
"No asiste (034)",433,88,18,56,271
