"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TACNA (000)",7643,1559,6084
"De 14 a 29 años (001)",3858,1205,2653
"De 30 a 44 años (002)",2418,310,2108
"De 45 a 64 años (003)",1204,44,1160
"De 65 y más años (004)",163,,163
"Hombres (005)",4629,836,3793
"De 14 a 29 años (006)",2168,675,1493
"De 30 a 44 años (007)",1474,140,1334
"De 45 a 64 años (008)",862,21,841
"De 65 y más años (009)",125,,125
"Mujeres (010)",3014,723,2291
"De 14 a 29 años (011)",1690,530,1160
"De 30 a 44 años (012)",944,170,774
"De 45 a 64 años (013)",342,23,319
"De 65 y más años (014)",38,,38
,,,
"AREA URBANA (015)",7210,1491,5719
"De 14 a 29 años (016)",3653,1152,2501
"De 30 a 44 años (017)",2294,297,1997
"De 45 a 64 años (018)",1115,42,1073
"De 65 y más años (019)",148,,148
"Hombres (020)",4324,792,3532
"De 14 a 29 años (021)",2039,641,1398
"De 30 a 44 años (022)",1380,131,1249
"De 45 a 64 años (023)",792,20,772
"De 65 y más años (024)",113,,113
"Mujeres (025)",2886,699,2187
"De 14 a 29 años (026)",1614,511,1103
"De 30 a 44 años (027)",914,166,748
"De 45 a 64 años (028)",323,22,301
"De 65 y más años (029)",35,,35
,,,
"AREA RURAL (030)",433,68,365
"De 14 a 29 años (031)",205,53,152
"De 30 a 44 años (032)",124,13,111
"De 45 a 64 años (033)",89,2,87
"De 65 y más años (034)",15,,15
"Hombres (035)",305,44,261
"De 14 a 29 años (036)",129,34,95
"De 30 a 44 años (037)",94,9,85
"De 45 a 64 años (038)",70,1,69
"De 65 y más años (039)",12,,12
"Mujeres (040)",128,24,104
"De 14 a 29 años (041)",76,19,57
"De 30 a 44 años (042)",30,4,26
"De 45 a 64 años (043)",19,1,18
"De 65 y más años (044)",3,,3
