"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMAS (000)",32666,28666,2341,839,820
"Empleado (001)",2082,640,282,502,658
"Obrero (002)",4761,3607,713,289,152
"Trabajador independiente (003)",16544,15710,834,,
"Empleador o patrono (004)",1064,956,86,19,3
"Trabajador familiar no remunerado (005)",7271,6809,426,29,7
"Trabajador del hogar (006)",944,944,,,
"De 06 a 14 años (008)",1478,1373,95,10,
"Empleado (009)",16,12,4,,
"Obrero (010)",136,113,17,6,
"Trabajador independiente (011)",193,180,13,,
"Trabajador familiar no remunerado (013)",1092,1027,61,4,
"Trabajador del hogar (014)",41,41,,,
"De 15 a 29 años (016)",11900,10465,950,233,252
"Empleado (017)",633,265,81,88,199
"Obrero (018)",2217,1693,342,132,50
"Trabajador independiente (019)",4750,4471,279,,
"Empleador o patrono (020)",318,289,28,1,
"Trabajador familiar no remunerado (021)",3584,3349,220,12,3
"Trabajador del hogar (022)",398,398,,,
"De 30 a 44 años (024)",10321,8793,740,427,361
"Empleado (025)",942,224,138,291,289
"Obrero (026)",1441,1056,198,119,68
"Trabajador independiente (027)",5770,5494,276,,
"Empleador o patrono (028)",411,359,39,11,2
"Trabajador familiar no remunerado (029)",1505,1408,89,6,2
"Trabajador del hogar (030)",252,252,,,
"De 45 a 64 años (032)",7157,6315,481,166,195
"Empleado (033)",463,121,57,123,162
"Obrero (034)",806,610,133,31,32
"Trabajador independiente (035)",4512,4287,225,,
"Empleador o patrono (036)",273,249,16,7,1
"Trabajador familiar no remunerado (037)",903,848,50,5,
"Trabajador del hogar (038)",200,200,,,
"De 65 y más años (040)",1810,1720,75,3,12
"Empleado (041)",28,18,2,,8
"Obrero (042)",161,135,23,1,2
"Trabajador independiente (043)",1319,1278,41,,
"Empleador o patrono (044)",62,59,3,,
"Trabajador familiar no remunerado (045)",187,177,6,2,2
"Trabajador del hogar (046)",53,53,,,
,,,,,
"URBANA (048)",15840,13050,1310,695,785
"Empleado (049)",1900,532,251,478,639
"Obrero (050)",2146,1471,341,194,140
"Trabajador independiente (051)",8011,7510,501,,
"Empleador o patrono (052)",313,263,35,13,2
"Trabajador familiar no remunerado (053)",2687,2491,182,10,4
"Trabajador del hogar (054)",783,783,,,
